Frequency	Coverage	Num_Ind	rep1	rep2	rep3	rep4	rep5	rep6	rep7	rep8	rep9	rep10	rep11	rep12	rep13	rep14	rep15	rep16	rep17	rep18	rep19	rep20	rep21	rep22	rep23	rep24	rep25	rep26	rep27	rep28	rep29	rep30	rep31	rep32	rep33	rep34	rep35	rep36	rep37	rep38	rep39	rep40	rep41	rep42	rep43	rep44	rep45	rep46	rep47	rep48	rep49	rep50	rep51	rep52	rep53	rep54	rep55	rep56	rep57	rep58	rep59	rep60	rep61	rep62	rep63	rep64	rep65	rep66	rep67	rep68	rep69	rep70	rep71	rep72	rep73	rep74	rep75	rep76	rep77	rep78	rep79	rep80	rep81	rep82	rep83	rep84	rep85	rep86	rep87	rep88	rep89	rep90	rep91	rep92	rep93	rep94	rep95	rep96	rep97	rep98	rep99	rep100
f20	15x	20ind	0.2560188	0.1465427	0.2153205	0.1416447	0.2395152	0.1881601	0.2675281	0.1993664	0.3119961	0.2222193	0.127249	0.2101963	0.2811126	0.1603714	0.2082429	0.2489572	0.1897709	0.2830622	0.1980981	0.3057083	0.1791523	0.2100158	0.1911433	0.1234128	0.1187484	0.243309	0.2268221	0.2785886	0.2123866	0.2184426	0.2005905	0.2482469	0.1974593	0.1369541	0.2895575	0.199471	0.1480432	0.216644	0.1547728	0.2026013	0.2277079	0.2876386	0.2584397	0.2031828	0.1831073	0.2438172	0.1750307	0.1817566	0.1544362	0.1683308	0.2360651	0.2906119	0.1220542	0.257824	0.1990801	0.2159451	0.2237785	0.145745	0.2384792	0.1603065	0.2565532	0.2722461	0.167202	0.2485854	0.2198597	0.209704	0.1491232	0.1743953	0.1900527	0.1590119	0.1676767	0.2442931	0.1819201	0.2801755	0.2271981	0.2373289	0.2225012	0.2035068	0.1934851	0.1920223	0.2433233	0.2319379	0.1467941	0.2297677	0.2277773	0.2928495	0.2148489	0.2466647	0.198504	0.1733295	0.2576197	0.2254185	0.1855153	0.3270461	0.1932527	0.1979136	0.2986826	0.1560983	0.1902567	0.2242545
f20	15x	30ind	0.2126553	0.2186102	0.1903528	0.1767421	0.2010936	0.2303003	0.1479955	0.1980792	0.2785414	0.1732446	0.2539529	0.1969394	0.2253195	0.1989065	0.2053447	0.2720559	0.156121	0.2529671	0.1321415	0.219954	0.1707723	0.1637482	0.2074883	0.1632399	0.2197908	0.2289867	0.1696783	0.2305144	0.1313336	0.2566907	0.2475291	0.2259414	0.2139248	0.1921528	0.2411118	0.1433678	0.1635893	0.1642028	0.2522883	0.1613297	0.1815599	0.2008828	0.2553379	0.1815126	0.2442295	0.2124474	0.255144	0.1827914	0.2300688	0.2119676	0.1862356	0.2279428	0.2411644	0.2087306	0.2467117	0.214255	0.2012914	0.262742	0.193746	0.2341451	0.1401499	0.1899977	0.1941321	0.1954574	0.2852831	0.2202141	0.1780457	0.2542377	0.1899805	0.1722495	0.1485657	0.1831473	0.2602	0.1893886	0.1692828	0.2164116	0.1922371	0.2547781	0.1864739	0.236362	0.1694764	0.1684156	0.2139443	0.2367464	0.2382896	0.1847864	0.1797397	0.1575208	0.1860633	0.2042198	0.1199164	0.2402698	0.2264221	0.2265247	0.1738079	0.2208432	0.1867546	0.2561567	0.2126038	0.2277052
f20	20x	5ind	0.2535734	0.1952486	0.0478548	0.3425284	0.1995377	0.08202778	0.2075724	0.1120808	0.1436449	0.2862154	0.1984636	0.1516746	0.2117661	0.2030229	0.1883814	0.137028	0.2738823	0.2201533	0.101074	0.2602737	0.1993211	0.2260947	0.2115085	0.292267	0.2183289	0.1992836	0.2729006	0.3303934	0.3799138	0.2744034	0.1434865	0.4137605	0.4755817	0.3435317	0.09626492	0.1791583	0.1852462	0.2334772	0.2455623	0.1833058	0.1965872	0.09518849	0.09266545	0.2230083	0.2167806	0.3583765	0.264234	0.2576966	0.1926798	0.3574202	0.1618213	0.2706226	0.2608686	0.1558301	0.262558	0.3316787	0.2096579	0.2449675	0.1445849	0.1643644	0.07877909	0.1727759	0.09218538	0.2085247	0.3468927	0.3354952	0.08945983	0.3128495	0.2216649	0.1806966	0.09270227	0.2288423	0.1332271	0.2519297	0.22809	0.4277511	0.2952237	0.2278537	0.271752	0.0465128	0.1358317	0.3184516	0.3747263	0.1416031	0.2296104	0.1829689	0.2714318	0.04734618	0.2402432	0.2595657	0.434716	0.2176445	0.1777305	0.254952	0.2438155	0.09385827	0.288771	0.199407	0.1759547	0.1677703
f20	20x	10ind	0.2744928	0.1699351	0.258786	0.2568333	0.210472	0.182512	0.1370394	0.1659225	0.07536635	0.2526876	0.2750761	0.274559	0.1844653	0.1288221	0.1609583	0.2247096	0.2772469	0.2364045	0.03294464	0.2232504	0.2155094	0.2824727	0.2220064	0.2620866	0.2045881	0.2352531	0.2053026	0.1202943	0.1417793	0.1749311	0.2394649	0.2381837	0.1351084	0.1024125	0.2258237	0.2739925	0.304026	0.2732792	0.2402304	0.352368	0.4089391	0.1548933	0.2263431	0.1647116	0.2668272	0.1351699	0.3383296	0.265471	0.2690675	0.2552199	0.1534375	0.3155302	0.3219338	0.1239832	0.2293615	0.1908058	0.2192577	0.1977417	0.1257297	0.1364239	0.1870726	0.1465118	0.2405022	0.1952046	0.2338282	0.1842899	0.1950162	0.1860312	0.229073	0.1789947	0.1752615	0.2003721	0.2649327	0.1760402	0.2535652	0.2455493	0.269978	0.2549504	0.1443231	0.3149492	0.21263	0.1645174	0.230141	0.1746823	0.2156601	0.2701495	0.3368526	0.08596606	0.1375933	0.2359722	0.1944578	0.1578121	0.2215471	0.1495694	0.2422277	0.1123946	0.3597817	0.1885732	0.2711617	0.0788309
f20	20x	20ind	0.1803868	0.2049172	0.2410009	0.2376851	0.2702556	0.1394796	0.2248073	0.1071478	0.2067629	0.1476762	0.1913761	0.2138552	0.2112982	0.2132699	0.1980852	0.2149417	0.2211362	0.1974006	0.1770743	0.2072262	0.179126	0.3234743	0.2515433	0.2440264	0.1849155	0.21602	0.1905721	0.2165994	0.2818948	0.2219155	0.1872237	0.2374502	0.1275224	0.240209	0.1945851	0.2783924	0.1183644	0.2516182	0.2489322	0.1976175	0.1889499	0.2477709	0.1819265	0.1346829	0.242964	0.16661	0.2127494	0.2420271	0.2176902	0.1447998	0.1969205	0.1858911	0.2316762	0.1715264	0.1304343	0.2058108	0.4027851	0.2016446	0.1775182	0.2028622	0.2552387	0.2015003	0.1576904	0.2261659	0.2859021	0.1530948	0.2552053	0.2250619	0.1068415	0.2835801	0.2512292	0.3133857	0.2114766	0.1972524	0.2139785	0.2515504	0.1970285	0.2580841	0.3498173	0.2956797	0.2240767	0.1906202	0.2575701	0.3091246	0.1982092	0.2530559	0.2615814	0.2113475	0.1756051	0.2054361	0.1384016	0.2357853	0.2200244	0.1369695	0.1849295	0.2241453	0.2224984	0.166461	0.2521371	0.2306657
f20	20x	30ind	0.2491404	0.2057241	0.2039625	0.1466231	0.2085639	0.1735876	0.2056631	0.2493782	0.1734492	0.1422504	0.3117137	0.229158	0.2111133	0.2279969	0.2049794	0.2213379	0.2338274	0.2027528	0.2510209	0.1606329	0.2140832	0.1730772	0.1937528	0.2576757	0.2834859	0.221213	0.2016407	0.1951876	0.2434336	0.2127424	0.1827793	0.1759376	0.2333243	0.1942104	0.1879146	0.1810902	0.2178403	0.2961264	0.2313942	0.1166203	0.2074811	0.2369768	0.181938	0.2198121	0.1210055	0.1369685	0.2562524	0.2283583	0.1709231	0.2697298	0.218554	0.2332317	0.1827377	0.1811952	0.2259155	0.1554674	0.186956	0.2076907	0.1862168	0.2208482	0.1547932	0.2011987	0.1589316	0.2522134	0.2553098	0.2276451	0.1858685	0.1810695	0.2993118	0.2225507	0.1986136	0.2495569	0.1740137	0.2000516	0.181078	0.2026104	0.1880291	0.1457068	0.2068715	0.2334712	0.1787883	0.1647593	0.178904	0.1921313	0.2409641	0.2237687	0.1913495	0.2494959	0.2121152	0.1944796	0.2408699	0.2242958	0.2735468	0.2751303	0.1970828	0.2319338	0.23112	0.2085114	0.234632	0.2273169
f40	5x	5ind	0.390141	0.433806	0.3434887	0.4984759	0.3418095	0.5344466	0.3795001	0.35744	0.3745952	0.5726788	0.2180051	0.3875974	0.3250211	0.471693	0.3410402	0.119366	0.3938215	0.4574481	0.2354128	0.5123154	0.3676548	0.4681111	0.4793114	0.2929502	0.4798332	0.5579356	0.2256641	0.3964621	0.339334	0.3747199	0.37745	0.4624881	0.4574132	0.4152787	0.3525139	0.3425811	0.339092	0.1699766	0.5962334	0.2540097	0.5789665	0.8072645	0.3518154	0.5970245	0.6995081	0.4654061	0.2687212	0.422044	0.618656	0.4166088	0.2921641	0.4256224	0.2354598	0.4889724	0.3113336	0.2704226	0.3560031	0.4645713	0.2875338	0.3789306	0.3392513	0.3724763	0.2434615	0.5401386	0.4939081	0.298578	0.413412	0.5665373	0.37195	0.8073705	0.4501607	0.3910182	0.323286	0.3797759	0.6713039	0.2949334	0.4010901	0.2513707	0.2744971	0.1899561	0.4192333	0.471734	0.4039015	0.5188202	0.4179179	0.3664767	0.4860331	0.2975767	0.3324022	0.32293	0.3105065	0.590388	0.2721278	0.2630419	0.5020936	0.3797064	0.1983682	0.2812286	0.4226893	0.3184863
f40	5x	10ind	0.3315934	0.4028129	0.3573927	0.5118484	0.2892253	0.3752529	0.4889486	0.511752	0.3282421	0.4503428	0.2925962	0.4878106	0.5372512	0.2190195	0.3523515	0.1592075	0.398077	0.3964197	0.2360781	0.3050043	0.3435163	0.3851652	0.5241392	0.3308341	0.3637943	0.4175777	0.2699154	0.28116	0.3828228	0.4899708	0.3406531	0.4728699	0.2237118	0.4172972	0.3731908	0.3257793	0.4010211	0.3099316	0.3578787	0.2541305	0.3280248	0.4554919	0.5119599	0.4562698	0.3894877	0.5506219	0.3729176	0.5362323	0.5679437	0.3659023	0.4707893	0.6335896	0.4863204	0.533324	0.4027564	0.4277789	0.229737	0.337747	0.4787192	0.2139706	0.344144	0.463737	0.2832073	0.3552909	0.4231837	0.4455952	0.4064697	0.366973	0.3523561	0.5132117	0.2660748	0.4524165	0.3709665	0.5204986	0.5060101	0.3556601	0.4496888	0.316744	0.5574822	0.2580393	0.3101831	0.388944	0.285775	0.2707607	0.3740542	0.3304166	0.3703773	0.3363882	0.5545946	0.3307575	0.4367572	0.389216	0.534826	0.4657424	0.4455064	0.2958259	0.4247736	0.2704111	0.3636296	0.3671955
f40	5x	20ind	0.4431043	0.5059133	0.438	0.3154777	0.4866953	0.3913104	0.3919798	0.3254665	0.3114544	0.4054756	0.4195301	0.3169632	0.4090525	0.4566257	0.4595726	0.5626456	0.5088255	0.5177421	0.4709529	0.4207348	0.2909101	0.3440119	0.2662255	0.3307015	0.4752045	0.2683542	0.4295599	0.3304421	0.4600023	0.3715125	0.5878431	0.4147109	0.4008741	0.4530312	0.1974363	0.3281031	0.4922067	0.3586145	0.4371151	0.4035344	0.3563106	0.4342141	0.3175324	0.3392627	0.3657912	0.3210095	0.5183658	0.4768432	0.366067	0.3816175	0.4342146	0.3582602	0.3844585	0.4242409	0.3067105	0.4722444	0.4371912	0.4210807	0.4308359	0.4617426	0.397305	0.4047154	0.4290983	0.3443826	0.4144363	0.5136596	0.4439635	0.5013224	0.2705535	0.3334481	0.4025058	0.361701	0.41619	0.4615371	0.4121682	0.4311589	0.3213247	0.3421042	0.2907789	0.3679774	0.3288542	0.3921871	0.4423879	0.3719918	0.4199651	0.3863308	0.448901	0.3829388	0.281714	0.3653417	0.3833904	0.382343	0.5058004	0.4673339	0.3900621	0.2904927	0.4751094	0.4345611	0.3288344	0.3890731
f40	5x	30ind	0.3732816	0.4207116	0.4242951	0.318797	0.3545318	0.3500092	0.3855564	0.5001007	0.3533515	0.3870602	0.3962842	0.4440493	0.4393089	0.4321537	0.3897429	0.3944398	0.3940278	0.47585	0.3694789	0.3241456	0.3422661	0.3498407	0.3412595	0.322108	0.4281888	0.4847634	0.4655012	0.441717	0.3285528	0.4408604	0.3948259	0.4274262	0.3481472	0.3892869	0.4075563	0.332953	0.4022878	0.4711235	0.4184729	0.4854143	0.5061342	0.2628519	0.3833503	0.3777116	0.4765484	0.3881956	0.3980556	0.4451936	0.4592001	0.396975	0.2788259	0.4031268	0.3403422	0.26245	0.395843	0.387937	0.4243653	0.3230883	0.2013497	0.4407139	0.4330643	0.4112087	0.2772544	0.3014	0.3165642	0.4852831	0.4245341	0.3225022	0.4785302	0.4364843	0.2733089	0.4800008	0.3866801	0.3652089	0.4714145	0.3962029	0.3233407	0.4337238	0.2793738	0.3509471	0.3891376	0.4063592	0.3936525	0.3192737	0.4344244	0.3497056	0.3949711	0.3535619	0.3808519	0.3534732	0.4068518	0.3933424	0.3981317	0.3532415	0.3471383	0.5177825	0.3080553	0.4391415	0.3654015	0.3352462
