iter 	 p
500 	 0.7410053 
1000 	 0.7221067 
1500 	 0.5240152 
2000 	 0.5405717 
2500 	 0.586469 
3000 	 0.7164053 
3500 	 0.6035135 
4000 	 0.5035073 
4500 	 0.6309935 
5000 	 0.5233312 
5500 	 0.5202781 
6000 	 0.7988159 
6500 	 0.6340027 
7000 	 0.5632172 
7500 	 0.6444611 
8000 	 0.7197324 
8500 	 0.7333135 
9000 	 0.5932457 
9500 	 0.6203668 
10000 	 0.5882245 
10500 	 0.748483 
11000 	 0.5651295 
11500 	 0.4210168 
12000 	 0.566954 
12500 	 0.5813792 
13000 	 0.5840158 
13500 	 0.6872666 
14000 	 0.7425198 
14500 	 0.5958355 
15000 	 0.6107033 
15500 	 0.6195392 
16000 	 0.6632127 
16500 	 0.7211067 
17000 	 0.7248444 
17500 	 0.6746717 
18000 	 0.5107602 
18500 	 0.7493828 
19000 	 0.5687221 
19500 	 0.6193718 
20000 	 0.6615799 
20500 	 0.6471079 
21000 	 0.7214758 
21500 	 0.5889469 
22000 	 0.6064473 
22500 	 0.6347422 
23000 	 0.6147154 
23500 	 0.6216194 
24000 	 0.6391359 
24500 	 0.5896757 
25000 	 0.6083566 
25500 	 0.770718 
26000 	 0.6793011 
26500 	 0.6722129 
27000 	 0.6671886 
27500 	 0.4558327 
28000 	 0.4812211 
28500 	 0.5972382 
29000 	 0.4834053 
29500 	 0.6502162 
30000 	 0.6317571 
30500 	 0.6208365 
31000 	 0.5899603 
31500 	 0.5395831 
32000 	 0.7128145 
32500 	 0.7940189 
33000 	 0.7272548 
33500 	 0.6594153 
34000 	 0.6440199 
34500 	 0.6483712 
35000 	 0.5877812 
35500 	 0.504709 
36000 	 0.5364622 
36500 	 0.7021944 
37000 	 0.7199509 
37500 	 0.5978685 
38000 	 0.6875093 
38500 	 0.7281085 
39000 	 0.6447974 
39500 	 0.5559597 
40000 	 0.5569013 
40500 	 0.6833378 
41000 	 0.6457935 
41500 	 0.8925584 
42000 	 0.6275892 
42500 	 0.6370216 
43000 	 0.5973949 
43500 	 0.5708661 
44000 	 0.6758987 
44500 	 0.6811936 
45000 	 0.4966192 
45500 	 0.6329636 
46000 	 0.662051 
46500 	 0.6478758 
47000 	 0.7333348 
47500 	 0.6097765 
48000 	 0.5938351 
48500 	 0.5450681 
49000 	 0.5425179 
49500 	 0.6443187 
50000 	 0.633289 
50500 	 0.5833728 
51000 	 0.4949046 
51500 	 0.6937658 
52000 	 0.6493906 
52500 	 0.5906575 
53000 	 0.5484892 
53500 	 0.5987504 
54000 	 0.6457226 
54500 	 0.676027 
55000 	 0.829596 
55500 	 0.612502 
56000 	 0.5718114 
56500 	 0.7807009 
57000 	 0.5311293 
57500 	 0.6215968 
58000 	 0.5773392 
58500 	 0.510455 
59000 	 0.6996761 
59500 	 0.6513261 
60000 	 0.5813291 
60500 	 0.7758797 
61000 	 0.8113304 
61500 	 0.6310695 
62000 	 0.5421454 
62500 	 0.3158855 
63000 	 0.7201732 
63500 	 0.7445236 
64000 	 0.7681452 
64500 	 0.6777107 
65000 	 0.629094 
65500 	 0.5140548 
66000 	 0.6307901 
66500 	 0.7251662 
67000 	 0.5407431 
67500 	 0.7867491 
68000 	 0.7498941 
68500 	 0.6489646 
69000 	 0.5711523 
69500 	 0.5103283 
70000 	 0.492633 
70500 	 0.5865105 
71000 	 0.7237288 
71500 	 0.6374052 
72000 	 0.7347196 
72500 	 0.7671517 
73000 	 0.742655 
73500 	 0.5172129 
74000 	 0.6577102 
74500 	 0.7286066 
75000 	 0.6828077 
75500 	 0.6054706 
76000 	 0.6450939 
76500 	 0.5347007 
77000 	 0.697631 
77500 	 0.7040231 
78000 	 0.7507015 
78500 	 0.6052839 
79000 	 0.5638223 
79500 	 0.5893144 
80000 	 0.6675186 
80500 	 0.7763479 
81000 	 0.6291892 
81500 	 0.7246101 
82000 	 0.6938198 
82500 	 0.7067349 
83000 	 0.6422368 
83500 	 0.5752714 
84000 	 0.6985909 
84500 	 0.7317767 
85000 	 0.6067919 
85500 	 0.5561485 
86000 	 0.5812399 
86500 	 0.738403 
87000 	 0.6125482 
87500 	 0.5982566 
