iter 	 p
500 	 0.8345817 
1000 	 0.7555492 
1500 	 0.8204207 
2000 	 0.696587 
2500 	 0.7717331 
3000 	 0.8746489 
3500 	 0.8052829 
4000 	 0.7441148 
4500 	 0.7592622 
5000 	 0.8074337 
5500 	 0.7059179 
6000 	 0.6566591 
6500 	 0.7976898 
7000 	 0.6822634 
7500 	 0.7478815 
8000 	 0.7939355 
8500 	 0.7797003 
9000 	 0.7250582 
9500 	 0.8014335 
10000 	 0.7046929 
10500 	 0.7167391 
11000 	 0.8523678 
11500 	 0.7820875 
12000 	 0.7506704 
12500 	 0.8768575 
13000 	 0.8732972 
13500 	 0.8280843 
14000 	 0.7949569 
14500 	 0.7771743 
15000 	 0.768367 
15500 	 0.7936853 
16000 	 0.7932236 
16500 	 0.7882752 
17000 	 0.8631961 
17500 	 0.7335085 
18000 	 0.7936493 
18500 	 0.7486268 
19000 	 0.7194279 
19500 	 0.7417719 
20000 	 0.7161273 
20500 	 0.8168775 
21000 	 0.7659939 
21500 	 0.8769905 
22000 	 0.8195921 
22500 	 0.8435236 
23000 	 0.8401428 
23500 	 0.7609781 
24000 	 0.757502 
24500 	 0.8563073 
25000 	 0.7152239 
25500 	 0.7583986 
26000 	 0.736268 
26500 	 0.7962096 
27000 	 0.6931483 
27500 	 0.8323412 
28000 	 0.6767673 
28500 	 0.8180757 
29000 	 0.6791674 
29500 	 0.6763666 
30000 	 0.7908408 
30500 	 0.7853855 
31000 	 0.6813897 
31500 	 0.80985 
32000 	 0.7408282 
32500 	 0.7552787 
33000 	 0.8529761 
33500 	 0.8611572 
34000 	 0.813349 
34500 	 0.7213991 
35000 	 0.7739852 
35500 	 0.6899291 
36000 	 0.738222 
36500 	 0.8023493 
37000 	 0.7032924 
37500 	 0.858637 
38000 	 0.8577311 
38500 	 0.7797771 
39000 	 0.7665133 
39500 	 0.8518027 
40000 	 0.7817468 
40500 	 0.7606883 
41000 	 0.8369002 
41500 	 0.8281452 
42000 	 0.7357954 
42500 	 0.8757172 
43000 	 0.7611943 
43500 	 0.7826718 
44000 	 0.7841605 
44500 	 0.8118327 
45000 	 0.7744196 
45500 	 0.804414 
46000 	 0.7336128 
46500 	 0.8677409 
47000 	 0.839721 
47500 	 0.772493 
48000 	 0.7441857 
48500 	 0.7496984 
49000 	 0.7917225 
49500 	 0.8003688 
50000 	 0.8318685 
50500 	 0.8058096 
51000 	 0.7065925 
51500 	 0.7329817 
52000 	 0.7450272 
52500 	 0.8523873 
53000 	 0.8312649 
53500 	 0.7942773 
54000 	 0.7935505 
54500 	 0.8357505 
55000 	 0.7508633 
55500 	 0.8022543 
56000 	 0.8507802 
56500 	 0.7991725 
57000 	 0.7424542 
57500 	 0.7993368 
58000 	 0.7006431 
58500 	 0.721356 
59000 	 0.7652922 
59500 	 0.7367898 
60000 	 0.7265304 
60500 	 0.6906839 
61000 	 0.6622296 
61500 	 0.7847737 
62000 	 0.7429672 
62500 	 0.8279428 
63000 	 0.8305361 
63500 	 0.8103954 
64000 	 0.7987818 
64500 	 0.6686087 
65000 	 0.8060348 
65500 	 0.7702955 
66000 	 0.786431 
66500 	 0.6784167 
67000 	 0.8060655 
67500 	 0.7309398 
68000 	 0.7951736 
68500 	 0.7820346 
69000 	 0.8393815 
69500 	 0.6825715 
70000 	 0.698964 
70500 	 0.9029917 
71000 	 0.7634305 
71500 	 0.8503039 
72000 	 0.8340902 
72500 	 0.8053655 
73000 	 0.7401752 
73500 	 0.8234949 
74000 	 0.8209879 
74500 	 0.8296279 
75000 	 0.7194769 
75500 	 0.7825387 
76000 	 0.7161941 
76500 	 0.7498869 
77000 	 0.8205116 
77500 	 0.6880755 
78000 	 0.7500552 
78500 	 0.8566907 
79000 	 0.7520828 
79500 	 0.8174181 
80000 	 0.66128 
80500 	 0.7522093 
81000 	 0.8174774 
81500 	 0.8108672 
82000 	 0.6890725 
82500 	 0.7626077 
83000 	 0.7703168 
83500 	 0.7917314 
84000 	 0.6120102 
84500 	 0.7520049 
85000 	 0.8165969 
85500 	 0.7030551 
