iter 	 p
500 	 0.7993693 
1000 	 0.8794327 
1500 	 0.7543049 
2000 	 0.810861 
2500 	 0.8262082 
3000 	 0.8046211 
3500 	 0.7816672 
4000 	 0.8041431 
4500 	 0.812131 
5000 	 0.7447935 
5500 	 0.7686407 
6000 	 0.7685535 
6500 	 0.8095306 
7000 	 0.8616163 
7500 	 0.785651 
8000 	 0.7808021 
8500 	 0.8110909 
9000 	 0.7962791 
9500 	 0.8230306 
10000 	 0.8263376 
10500 	 0.7774462 
11000 	 0.7779154 
11500 	 0.7718862 
12000 	 0.8268737 
12500 	 0.8286906 
13000 	 0.849006 
13500 	 0.8118535 
14000 	 0.7883702 
14500 	 0.767959 
15000 	 0.8285932 
15500 	 0.814714 
16000 	 0.7726899 
16500 	 0.7763523 
17000 	 0.7743692 
17500 	 0.8674175 
18000 	 0.7883618 
18500 	 0.8865541 
19000 	 0.783225 
19500 	 0.8292233 
20000 	 0.8190467 
20500 	 0.8530431 
21000 	 0.7747318 
21500 	 0.8467514 
22000 	 0.7724598 
22500 	 0.8060058 
23000 	 0.7921117 
23500 	 0.7420591 
24000 	 0.7986016 
24500 	 0.805254 
25000 	 0.7614649 
25500 	 0.7686825 
26000 	 0.7890157 
26500 	 0.7730211 
27000 	 0.8579233 
27500 	 0.7532751 
28000 	 0.8597061 
28500 	 0.7747318 
29000 	 0.8112887 
29500 	 0.8226583 
30000 	 0.8273076 
30500 	 0.803633 
31000 	 0.8323171 
31500 	 0.8427869 
32000 	 0.8429671 
32500 	 0.7533385 
33000 	 0.8184385 
33500 	 0.7984961 
34000 	 0.7727988 
34500 	 0.8150518 
35000 	 0.8383194 
35500 	 0.8191162 
36000 	 0.8088405 
36500 	 0.8256151 
37000 	 0.8024393 
37500 	 0.8223913 
38000 	 0.7774522 
38500 	 0.8044044 
39000 	 0.7419944 
39500 	 0.7938521 
40000 	 0.8229624 
40500 	 0.7720302 
41000 	 0.8060435 
41500 	 0.7471885 
42000 	 0.833366 
42500 	 0.827929 
43000 	 0.7878754 
43500 	 0.7596596 
44000 	 0.804377 
44500 	 0.8245056 
45000 	 0.7796885 
45500 	 0.7845207 
46000 	 0.7279198 
46500 	 0.7891613 
47000 	 0.8127865 
47500 	 0.8277117 
48000 	 0.7829321 
48500 	 0.8262832 
49000 	 0.7212858 
49500 	 0.7568209 
50000 	 0.8579453 
50500 	 0.7879136 
51000 	 0.8188869 
51500 	 0.8002344 
52000 	 0.7754237 
52500 	 0.7830557 
53000 	 0.8106743 
53500 	 0.7921523 
54000 	 0.7677579 
54500 	 0.7927752 
55000 	 0.8389582 
55500 	 0.8303657 
56000 	 0.8614778 
56500 	 0.818583 
57000 	 0.8512683 
57500 	 0.7596241 
58000 	 0.7804604 
58500 	 0.7630974 
59000 	 0.8173987 
59500 	 0.7559544 
60000 	 0.7698135 
60500 	 0.7792517 
61000 	 0.7129807 
61500 	 0.7760308 
62000 	 0.8182892 
62500 	 0.8066752 
63000 	 0.7872882 
63500 	 0.8195029 
64000 	 0.7892463 
64500 	 0.8030693 
65000 	 0.8136054 
65500 	 0.8298805 
66000 	 0.8510969 
66500 	 0.8117637 
67000 	 0.7854367 
67500 	 0.7637907 
68000 	 0.7917636 
68500 	 0.860608 
69000 	 0.8152288 
69500 	 0.7675636 
70000 	 0.7644499 
70500 	 0.7646719 
71000 	 0.8178373 
71500 	 0.8527547 
72000 	 0.7411935 
72500 	 0.7930435 
73000 	 0.7917033 
73500 	 0.7755032 
74000 	 0.8429842 
74500 	 0.7681948 
75000 	 0.8692648 
75500 	 0.7234715 
76000 	 0.8341313 
76500 	 0.7989559 
77000 	 0.7889325 
77500 	 0.8304963 
78000 	 0.8182311 
78500 	 0.8712312 
79000 	 0.8308489 
79500 	 0.8031089 
80000 	 0.8632531 
80500 	 0.8150519 
81000 	 0.7975879 
81500 	 0.7921105 
82000 	 0.8317965 
82500 	 0.7702084 
83000 	 0.8194078 
83500 	 0.7914457 
84000 	 0.8284676 
84500 	 0.778496 
85000 	 0.8550511 
85500 	 0.794815 
86000 	 0.8538975 
86500 	 0.7867094 
87000 	 0.7657652 
87500 	 0.7598646 
88000 	 0.7517235 
88500 	 0.8163946 
89000 	 0.8282928 
89500 	 0.8049487 
90000 	 0.8158182 
90500 	 0.8030647 
91000 	 0.8662721 
91500 	 0.8704623 
92000 	 0.8367953 
92500 	 0.8174078 
93000 	 0.8142851 
93500 	 0.7711402 
94000 	 0.7800457 
94500 	 0.8556963 
95000 	 0.796477 
95500 	 0.7934681 
96000 	 0.8449267 
96500 	 0.7955761 
97000 	 0.8198815 
97500 	 0.8437089 
98000 	 0.8275512 
98500 	 0.8230264 
99000 	 0.855106 
99500 	 0.7996281 
100000 	 0.8288775 
100500 	 0.8372576 
101000 	 0.7984835 
101500 	 0.8021529 
102000 	 0.7718377 
102500 	 0.8467989 
103000 	 0.7695927 
103500 	 0.729607 
104000 	 0.8142475 
104500 	 0.8014563 
105000 	 0.745102 
105500 	 0.8425396 
106000 	 0.7413211 
106500 	 0.8252629 
107000 	 0.8142967 
107500 	 0.830143 
108000 	 0.7941165 
108500 	 0.8125217 
109000 	 0.7413832 
109500 	 0.7520197 
110000 	 0.8549427 
110500 	 0.7944313 
111000 	 0.8065339 
111500 	 0.8257797 
112000 	 0.7848924 
112500 	 0.7655573 
113000 	 0.7649892 
113500 	 0.8010914 
114000 	 0.7962236 
114500 	 0.8188739 
115000 	 0.8196799 
115500 	 0.858389 
116000 	 0.8112993 
116500 	 0.8405195 
117000 	 0.8441399 
117500 	 0.8318287 
118000 	 0.8402681 
118500 	 0.8719921 
119000 	 0.830324 
119500 	 0.8335932 
120000 	 0.8311518 
120500 	 0.8426226 
121000 	 0.8017838 
121500 	 0.8321419 
122000 	 0.7702853 
122500 	 0.7305312 
123000 	 0.7458401 
123500 	 0.7926959 
124000 	 0.8552003 
124500 	 0.7999466 
125000 	 0.806391 
125500 	 0.8107012 
126000 	 0.8168642 
126500 	 0.8606494 
127000 	 0.8340514 
127500 	 0.8270868 
128000 	 0.8150002 
128500 	 0.7660677 
129000 	 0.8051325 
129500 	 0.8391834 
130000 	 0.8622563 
130500 	 0.824939 
131000 	 0.8185163 
131500 	 0.8194199 
132000 	 0.8650923 
132500 	 0.8063252 
133000 	 0.7966433 
133500 	 0.740097 
134000 	 0.7914732 
134500 	 0.7947421 
135000 	 0.7754734 
135500 	 0.8094083 
136000 	 0.7670264 
136500 	 0.8124653 
137000 	 0.8498984 
137500 	 0.789536 
138000 	 0.7900077 
138500 	 0.7847206 
139000 	 0.8282707 
139500 	 0.7997874 
140000 	 0.8150061 
140500 	 0.7610548 
141000 	 0.8002638 
141500 	 0.8062945 
142000 	 0.7978225 
142500 	 0.7960952 
143000 	 0.8283032 
143500 	 0.8516708 
144000 	 0.8086938 
144500 	 0.7783083 
145000 	 0.8055078 
145500 	 0.8163957 
146000 	 0.7948032 
146500 	 0.8064091 
147000 	 0.7647674 
147500 	 0.7778799 
148000 	 0.8620636 
148500 	 0.7915363 
149000 	 0.7621881 
149500 	 0.7889999 
150000 	 0.7249024 
150500 	 0.7705568 
151000 	 0.8080006 
151500 	 0.8425639 
152000 	 0.7754978 
152500 	 0.811014 
153000 	 0.7778192 
153500 	 0.8679848 
154000 	 0.8475711 
154500 	 0.818103 
155000 	 0.8278618 
155500 	 0.7835078 
156000 	 0.8004091 
156500 	 0.7960341 
157000 	 0.7656712 
157500 	 0.8053738 
158000 	 0.8094011 
158500 	 0.7368843 
159000 	 0.794334 
159500 	 0.8123956 
160000 	 0.8077126 
160500 	 0.8030067 
161000 	 0.7697205 
161500 	 0.8314994 
162000 	 0.7834341 
162500 	 0.7950378 
163000 	 0.8368653 
163500 	 0.7987214 
164000 	 0.7647136 
164500 	 0.7891714 
165000 	 0.8095298 
165500 	 0.7654357 
166000 	 0.8022897 
166500 	 0.7733697 
167000 	 0.8228322 
167500 	 0.8163863 
168000 	 0.8080934 
168500 	 0.8018634 
169000 	 0.8262873 
169500 	 0.8761135 
170000 	 0.7789765 
170500 	 0.7997781 
171000 	 0.7393373 
171500 	 0.744798 
172000 	 0.8090827 
172500 	 0.8420955 
173000 	 0.7963291 
173500 	 0.7655578 
174000 	 0.7884181 
174500 	 0.8483462 
175000 	 0.7867124 
175500 	 0.8649599 
176000 	 0.8148341 
176500 	 0.8191249 
177000 	 0.8262698 
177500 	 0.8573815 
178000 	 0.7080418 
178500 	 0.7925339 
179000 	 0.8298474 
179500 	 0.7677231 
180000 	 0.8255567 
180500 	 0.8264638 
181000 	 0.8342946 
181500 	 0.7961551 
182000 	 0.8132909 
182500 	 0.7611564 
183000 	 0.7918603 
183500 	 0.8088072 
184000 	 0.7862724 
184500 	 0.7567448 
185000 	 0.7775392 
185500 	 0.8359463 
186000 	 0.7645282 
186500 	 0.7975883 
187000 	 0.8555958 
187500 	 0.8546298 
188000 	 0.8658098 
188500 	 0.8151096 
189000 	 0.7594163 
189500 	 0.8053559 
190000 	 0.8168384 
190500 	 0.8084582 
191000 	 0.8306689 
191500 	 0.8465955 
192000 	 0.7697141 
192500 	 0.8120585 
193000 	 0.7977747 
193500 	 0.8516524 
194000 	 0.7588867 
194500 	 0.7685439 
195000 	 0.7996276 
195500 	 0.766857 
196000 	 0.8458237 
196500 	 0.7814213 
197000 	 0.7636666 
197500 	 0.7740212 
198000 	 0.8125672 
198500 	 0.7515654 
199000 	 0.7797233 
199500 	 0.8118852 
200000 	 0.8198978 
200500 	 0.8533678 
201000 	 0.7625944 
201500 	 0.7608509 
202000 	 0.8023591 
202500 	 0.8347839 
203000 	 0.8147129 
203500 	 0.7538869 
204000 	 0.8379963 
204500 	 0.8239685 
205000 	 0.7903037 
205500 	 0.7987695 
206000 	 0.7985503 
206500 	 0.7327887 
207000 	 0.830001 
207500 	 0.7995376 
208000 	 0.7886849 
208500 	 0.8161155 
209000 	 0.8300374 
209500 	 0.7917084 
210000 	 0.7808882 
210500 	 0.7310705 
211000 	 0.7763107 
211500 	 0.7645449 
212000 	 0.8438259 
212500 	 0.8507289 
213000 	 0.8018107 
213500 	 0.7455035 
214000 	 0.7947748 
214500 	 0.7797134 
215000 	 0.8949524 
215500 	 0.8737 
216000 	 0.851956 
216500 	 0.7671849 
217000 	 0.8408353 
217500 	 0.78969 
218000 	 0.8340229 
218500 	 0.8017301 
219000 	 0.8104668 
219500 	 0.8180932 
220000 	 0.7916272 
220500 	 0.7877426 
221000 	 0.7864466 
221500 	 0.8166269 
222000 	 0.7785027 
222500 	 0.7690078 
223000 	 0.8333657 
223500 	 0.8055322 
224000 	 0.840095 
224500 	 0.7701338 
225000 	 0.8004081 
225500 	 0.7684309 
226000 	 0.8057097 
226500 	 0.8244973 
227000 	 0.8295893 
227500 	 0.7932841 
228000 	 0.7703713 
228500 	 0.8131869 
229000 	 0.8001453 
229500 	 0.7857841 
230000 	 0.837937 
230500 	 0.7943041 
231000 	 0.7716143 
231500 	 0.7982478 
232000 	 0.8022819 
232500 	 0.7475695 
233000 	 0.7994601 
233500 	 0.8294425 
234000 	 0.8273026 
234500 	 0.7855373 
235000 	 0.7959584 
235500 	 0.8332983 
236000 	 0.8103723 
236500 	 0.7740422 
237000 	 0.7600447 
237500 	 0.7526327 
238000 	 0.8007462 
238500 	 0.7830378 
239000 	 0.8695776 
239500 	 0.819658 
240000 	 0.8313659 
240500 	 0.7966035 
241000 	 0.7413742 
241500 	 0.7339563 
242000 	 0.7932091 
242500 	 0.791011 
243000 	 0.7671138 
243500 	 0.7620569 
244000 	 0.7733789 
244500 	 0.7990877 
245000 	 0.7616348 
245500 	 0.8264484 
246000 	 0.807069 
246500 	 0.7885689 
247000 	 0.7593672 
247500 	 0.7828941 
248000 	 0.833454 
248500 	 0.8000918 
249000 	 0.8418798 
249500 	 0.7847189 
250000 	 0.8099626 
250500 	 0.8104384 
251000 	 0.788521 
251500 	 0.7943601 
252000 	 0.7039996 
252500 	 0.7805021 
253000 	 0.7819941 
253500 	 0.8310371 
254000 	 0.8383427 
254500 	 0.8554266 
255000 	 0.7438197 
255500 	 0.8219603 
256000 	 0.7081907 
256500 	 0.6991958 
257000 	 0.8236719 
257500 	 0.8484801 
258000 	 0.8692376 
