iter 	 p
500 	 0.4042524 
1000 	 0.355411 
1500 	 0.3723686 
2000 	 0.3758808 
2500 	 0.3668367 
3000 	 0.35537 
3500 	 0.3635421 
4000 	 0.4345283 
4500 	 0.3785013 
5000 	 0.3240589 
5500 	 0.3612731 
6000 	 0.3360875 
6500 	 0.4055923 
7000 	 0.3735805 
7500 	 0.3756415 
8000 	 0.3477734 
8500 	 0.3457901 
9000 	 0.3898612 
9500 	 0.3940396 
10000 	 0.3160888 
10500 	 0.3432104 
11000 	 0.3337069 
11500 	 0.3293676 
12000 	 0.3486967 
12500 	 0.3741358 
13000 	 0.3988533 
13500 	 0.3813953 
14000 	 0.3706499 
14500 	 0.330863 
15000 	 0.3324035 
15500 	 0.4241684 
16000 	 0.2947213 
16500 	 0.3329032 
17000 	 0.3369848 
17500 	 0.448045 
18000 	 0.3595225 
18500 	 0.2755705 
19000 	 0.3799353 
19500 	 0.3674969 
20000 	 0.3340733 
20500 	 0.4012605 
21000 	 0.3518664 
21500 	 0.374677 
22000 	 0.3598101 
22500 	 0.4366233 
23000 	 0.3219052 
23500 	 0.2904633 
24000 	 0.297719 
24500 	 0.3780084 
25000 	 0.3639401 
25500 	 0.3891659 
26000 	 0.3684959 
26500 	 0.3495927 
27000 	 0.3358054 
27500 	 0.4025794 
28000 	 0.3903863 
28500 	 0.4254401 
29000 	 0.3523345 
29500 	 0.3124013 
30000 	 0.3437024 
30500 	 0.3872412 
31000 	 0.3593497 
31500 	 0.3636525 
32000 	 0.3462351 
32500 	 0.3210045 
33000 	 0.3816543 
33500 	 0.4821358 
34000 	 0.4006222 
34500 	 0.334946 
35000 	 0.3707948 
35500 	 0.2981281 
36000 	 0.4234147 
36500 	 0.395585 
37000 	 0.3749628 
37500 	 0.4120725 
38000 	 0.4016335 
38500 	 0.3225913 
39000 	 0.3214689 
39500 	 0.373111 
40000 	 0.3768034 
40500 	 0.367802 
41000 	 0.3652794 
41500 	 0.3209531 
42000 	 0.4042236 
42500 	 0.3470216 
43000 	 0.319905 
43500 	 0.3747022 
44000 	 0.4267923 
44500 	 0.3439188 
45000 	 0.3913901 
45500 	 0.3344097 
46000 	 0.3893084 
46500 	 0.4346358 
47000 	 0.3678161 
47500 	 0.3848034 
48000 	 0.3656369 
48500 	 0.3435434 
49000 	 0.3653507 
49500 	 0.3877454 
50000 	 0.3625223 
50500 	 0.3880852 
51000 	 0.3917083 
51500 	 0.3359263 
52000 	 0.4178703 
52500 	 0.3447853 
53000 	 0.3370419 
53500 	 0.3749084 
54000 	 0.3221567 
54500 	 0.4164334 
55000 	 0.3830686 
55500 	 0.3155549 
56000 	 0.4307362 
56500 	 0.3992419 
57000 	 0.4541705 
57500 	 0.4291933 
58000 	 0.4432234 
58500 	 0.3387929 
59000 	 0.407285 
59500 	 0.4276632 
60000 	 0.379449 
60500 	 0.3628718 
61000 	 0.3787073 
61500 	 0.3552234 
62000 	 0.3671335 
62500 	 0.4730309 
63000 	 0.3709496 
63500 	 0.3176138 
64000 	 0.3278668 
64500 	 0.3070442 
65000 	 0.4030084 
65500 	 0.2945786 
66000 	 0.2924143 
66500 	 0.3536429 
67000 	 0.3110204 
67500 	 0.3615704 
68000 	 0.3913673 
68500 	 0.3747117 
69000 	 0.3673831 
69500 	 0.3429819 
70000 	 0.4215283 
70500 	 0.3359065 
71000 	 0.4085341 
71500 	 0.3664721 
72000 	 0.3395814 
72500 	 0.3502733 
73000 	 0.314692 
73500 	 0.4004227 
74000 	 0.3824268 
74500 	 0.3496468 
75000 	 0.3518951 
75500 	 0.3868197 
76000 	 0.3691888 
76500 	 0.3915264 
77000 	 0.382366 
77500 	 0.3343965 
78000 	 0.3423044 
78500 	 0.4451824 
79000 	 0.3800443 
79500 	 0.412759 
80000 	 0.3349439 
80500 	 0.3731985 
81000 	 0.3615024 
81500 	 0.2970973 
82000 	 0.3774675 
82500 	 0.3945705 
83000 	 0.3217334 
83500 	 0.3181647 
84000 	 0.3974802 
84500 	 0.3610797 
85000 	 0.4062667 
85500 	 0.28562 
86000 	 0.3129346 
86500 	 0.3605102 
87000 	 0.3663089 
87500 	 0.3033002 
88000 	 0.3758196 
88500 	 0.3626113 
89000 	 0.4074753 
89500 	 0.3297278 
90000 	 0.3543451 
90500 	 0.325782 
91000 	 0.3593243 
91500 	 0.3619606 
92000 	 0.4819417 
92500 	 0.401469 
93000 	 0.3631352 
93500 	 0.3889112 
94000 	 0.2722314 
94500 	 0.4058004 
95000 	 0.2656038 
95500 	 0.3627263 
96000 	 0.3226887 
96500 	 0.3788666 
97000 	 0.3354079 
97500 	 0.4259782 
98000 	 0.3044868 
98500 	 0.3879791 
99000 	 0.3612506 
99500 	 0.3746545 
100000 	 0.3575244 
100500 	 0.3355184 
101000 	 0.3682314 
101500 	 0.407602 
102000 	 0.3790385 
102500 	 0.318503 
103000 	 0.400514 
103500 	 0.3244909 
104000 	 0.3524581 
104500 	 0.3344974 
105000 	 0.370434 
105500 	 0.349592 
106000 	 0.3919229 
106500 	 0.4218863 
107000 	 0.3290222 
107500 	 0.3695931 
108000 	 0.3409296 
108500 	 0.4429965 
109000 	 0.3968387 
109500 	 0.3941001 
110000 	 0.3130022 
110500 	 0.4084379 
111000 	 0.3909966 
111500 	 0.3795395 
112000 	 0.3126134 
112500 	 0.387278 
113000 	 0.3319215 
113500 	 0.4201141 
114000 	 0.3977282 
114500 	 0.34611 
115000 	 0.3629732 
115500 	 0.3826542 
116000 	 0.3107967 
116500 	 0.3637463 
117000 	 0.4024778 
117500 	 0.3207283 
118000 	 0.3548934 
118500 	 0.3719023 
119000 	 0.4030372 
119500 	 0.3406441 
120000 	 0.3886138 
120500 	 0.3878714 
121000 	 0.4619813 
121500 	 0.4372229 
122000 	 0.3494948 
122500 	 0.3893786 
123000 	 0.3782068 
123500 	 0.3612755 
124000 	 0.4209243 
124500 	 0.3531547 
125000 	 0.3103698 
125500 	 0.3702875 
126000 	 0.384905 
126500 	 0.3262331 
127000 	 0.4166427 
127500 	 0.4069274 
128000 	 0.339501 
128500 	 0.3046459 
129000 	 0.3378465 
129500 	 0.3931867 
130000 	 0.4304041 
130500 	 0.3491497 
131000 	 0.40106 
131500 	 0.3831881 
132000 	 0.3567347 
132500 	 0.3236147 
133000 	 0.3303409 
133500 	 0.382878 
134000 	 0.3623342 
134500 	 0.3786902 
135000 	 0.3581818 
135500 	 0.3677566 
136000 	 0.4186313 
136500 	 0.3870938 
137000 	 0.4543571 
137500 	 0.3366541 
138000 	 0.4015976 
138500 	 0.3859591 
139000 	 0.4409195 
139500 	 0.4097662 
140000 	 0.3618702 
140500 	 0.3199403 
141000 	 0.3380457 
141500 	 0.2930333 
142000 	 0.3468535 
142500 	 0.3109882 
143000 	 0.3396848 
143500 	 0.3928184 
144000 	 0.3723751 
144500 	 0.3556725 
145000 	 0.4254606 
145500 	 0.3296916 
146000 	 0.4387598 
146500 	 0.2875874 
147000 	 0.3783014 
147500 	 0.3481941 
148000 	 0.3571197 
148500 	 0.2834017 
149000 	 0.4054407 
149500 	 0.3629642 
150000 	 0.329058 
150500 	 0.3918829 
151000 	 0.3555148 
151500 	 0.3778892 
152000 	 0.3521458 
152500 	 0.3550199 
153000 	 0.2789285 
153500 	 0.4164887 
154000 	 0.2436207 
154500 	 0.4311392 
155000 	 0.401627 
155500 	 0.3797199 
156000 	 0.3921092 
156500 	 0.3796931 
157000 	 0.2777005 
157500 	 0.2907141 
158000 	 0.2946106 
158500 	 0.3732339 
159000 	 0.2919562 
159500 	 0.4060663 
160000 	 0.4464901 
160500 	 0.338254 
161000 	 0.409341 
161500 	 0.3885263 
162000 	 0.3295075 
162500 	 0.3712055 
163000 	 0.312609 
163500 	 0.3464842 
164000 	 0.3993854 
164500 	 0.373163 
165000 	 0.4089767 
