iter 	 p
500 	 0.5384041 
1000 	 0.3242644 
1500 	 0.4049713 
2000 	 0.3883911 
2500 	 0.3531225 
3000 	 0.4381917 
3500 	 0.3515386 
4000 	 0.4348977 
4500 	 0.4709911 
5000 	 0.4384876 
5500 	 0.3577314 
6000 	 0.5581586 
6500 	 0.5008375 
7000 	 0.3770542 
7500 	 0.3828537 
8000 	 0.39036 
8500 	 0.4324524 
9000 	 0.3771391 
9500 	 0.3679029 
10000 	 0.4562769 
10500 	 0.4888641 
11000 	 0.4430026 
11500 	 0.4058354 
12000 	 0.3880663 
12500 	 0.3168258 
13000 	 0.3987349 
13500 	 0.5524962 
14000 	 0.4221916 
14500 	 0.4238948 
15000 	 0.482487 
15500 	 0.3640433 
16000 	 0.3762535 
16500 	 0.3720925 
17000 	 0.3536943 
17500 	 0.4911555 
18000 	 0.5168712 
18500 	 0.3713695 
19000 	 0.5923441 
19500 	 0.3719632 
20000 	 0.4958278 
20500 	 0.4135657 
21000 	 0.4578167 
21500 	 0.4109793 
22000 	 0.4405552 
22500 	 0.3656661 
23000 	 0.5213671 
23500 	 0.3940444 
24000 	 0.3768659 
24500 	 0.4345791 
25000 	 0.3871072 
25500 	 0.4288895 
26000 	 0.4163555 
26500 	 0.411382 
27000 	 0.3027256 
27500 	 0.5155358 
28000 	 0.4338817 
28500 	 0.2442572 
29000 	 0.4296404 
29500 	 0.5572441 
30000 	 0.3730369 
30500 	 0.4335184 
31000 	 0.3753559 
31500 	 0.3266214 
32000 	 0.3960062 
32500 	 0.4845376 
33000 	 0.3899362 
33500 	 0.4336153 
34000 	 0.3840138 
34500 	 0.3944667 
35000 	 0.365129 
35500 	 0.3601917 
36000 	 0.3955982 
36500 	 0.3389516 
37000 	 0.3163648 
37500 	 0.636123 
38000 	 0.4014267 
38500 	 0.3630195 
39000 	 0.3361826 
39500 	 0.538702 
40000 	 0.3962012 
40500 	 0.552261 
41000 	 0.5135955 
41500 	 0.397655 
42000 	 0.504939 
42500 	 0.4303956 
43000 	 0.6196675 
43500 	 0.3418735 
44000 	 0.3914073 
44500 	 0.4162894 
45000 	 0.3262015 
45500 	 0.4225457 
46000 	 0.4249662 
46500 	 0.4506297 
47000 	 0.494478 
47500 	 0.4310765 
48000 	 0.4769527 
48500 	 0.3754017 
49000 	 0.4472848 
49500 	 0.5081826 
50000 	 0.3445561 
50500 	 0.3216076 
51000 	 0.5556052 
51500 	 0.41652 
52000 	 0.4731065 
52500 	 0.359056 
53000 	 0.4756004 
53500 	 0.4128137 
54000 	 0.5387598 
54500 	 0.3232253 
55000 	 0.5132356 
55500 	 0.3592445 
56000 	 0.4635399 
56500 	 0.5060062 
57000 	 0.32992 
57500 	 0.4336214 
