iter 	 p
500 	 0.5036471 
1000 	 0.6354014 
1500 	 0.6183818 
2000 	 0.5047557 
2500 	 0.6669625 
3000 	 0.680343 
3500 	 0.6756223 
4000 	 0.6655687 
4500 	 0.7532456 
5000 	 0.6312137 
5500 	 0.6406323 
6000 	 0.6152272 
6500 	 0.6449166 
7000 	 0.7067221 
7500 	 0.631525 
8000 	 0.6937028 
8500 	 0.7090262 
9000 	 0.7831065 
9500 	 0.7589154 
10000 	 0.5966774 
10500 	 0.653698 
11000 	 0.5965876 
11500 	 0.6405142 
12000 	 0.6923129 
12500 	 0.5721369 
13000 	 0.6379186 
13500 	 0.6475286 
14000 	 0.6804724 
14500 	 0.7887569 
15000 	 0.7642341 
15500 	 0.5104552 
16000 	 0.7423865 
16500 	 0.5177078 
17000 	 0.7786275 
17500 	 0.5762828 
18000 	 0.5809437 
18500 	 0.4961456 
19000 	 0.7521968 
19500 	 0.7108188 
20000 	 0.6485769 
20500 	 0.7278407 
21000 	 0.3344752 
21500 	 0.6251198 
22000 	 0.8435882 
22500 	 0.8681284 
23000 	 0.6484302 
23500 	 0.539124 
24000 	 0.5272825 
24500 	 0.5078605 
25000 	 0.7051165 
25500 	 0.7323445 
26000 	 0.7178071 
26500 	 0.8043668 
27000 	 0.673242 
27500 	 0.6914897 
28000 	 0.5760833 
28500 	 0.5312493 
29000 	 0.6655117 
29500 	 0.695266 
30000 	 0.5857872 
30500 	 0.6969791 
31000 	 0.6207286 
31500 	 0.7206853 
32000 	 0.6292423 
32500 	 0.7369412 
33000 	 0.7200974 
33500 	 0.6320697 
34000 	 0.5568607 
34500 	 0.7321853 
35000 	 0.6284074 
35500 	 0.6228492 
36000 	 0.6637977 
36500 	 0.770428 
37000 	 0.5490199 
37500 	 0.4994807 
38000 	 0.5004549 
38500 	 0.5480999 
39000 	 0.6061086 
39500 	 0.5423241 
40000 	 0.6546397 
40500 	 0.5011724 
41000 	 0.5994474 
41500 	 0.7445279 
42000 	 0.6951578 
42500 	 0.6540982 
43000 	 0.6385942 
43500 	 0.6556682 
44000 	 0.6046648 
44500 	 0.7502197 
45000 	 0.7650225 
45500 	 0.5880716 
46000 	 0.6262325 
46500 	 0.6418646 
47000 	 0.7330092 
47500 	 0.416336 
48000 	 0.7014085 
48500 	 0.5847135 
49000 	 0.554787 
49500 	 0.7352169 
50000 	 0.7418457 
50500 	 0.5769482 
51000 	 0.746041 
51500 	 0.6761321 
52000 	 0.8041043 
52500 	 0.602497 
53000 	 0.59024 
53500 	 0.6053196 
54000 	 0.6672324 
54500 	 0.5479396 
55000 	 0.6374581 
55500 	 0.4722705 
56000 	 0.5696424 
56500 	 0.5004951 
57000 	 0.680454 
57500 	 0.6452227 
58000 	 0.6878206 
58500 	 0.7187611 
59000 	 0.6540439 
59500 	 0.634438 
60000 	 0.7158242 
60500 	 0.5580116 
61000 	 0.675214 
61500 	 0.5414567 
62000 	 0.8157143 
62500 	 0.6116627 
63000 	 0.5024141 
63500 	 0.7530075 
64000 	 0.6865252 
64500 	 0.7759151 
65000 	 0.5882739 
65500 	 0.8390403 
66000 	 0.67802 
66500 	 0.8323928 
67000 	 0.5800414 
67500 	 0.6766811 
68000 	 0.709796 
68500 	 0.6338433 
69000 	 0.530038 
69500 	 0.7034717 
70000 	 0.5927845 
70500 	 0.6727355 
71000 	 0.6866938 
71500 	 0.5491737 
72000 	 0.6677092 
72500 	 0.5204057 
73000 	 0.8083535 
73500 	 0.6603622 
74000 	 0.7576498 
74500 	 0.7112973 
75000 	 0.6047527 
75500 	 0.6161977 
76000 	 0.5756958 
76500 	 0.6565231 
77000 	 0.712275 
77500 	 0.4386495 
78000 	 0.6208794 
78500 	 0.6107346 
79000 	 0.6112032 
79500 	 0.6656069 
80000 	 0.5357131 
80500 	 0.5463606 
81000 	 0.2726276 
81500 	 0.5931327 
82000 	 0.7030771 
82500 	 0.6725075 
83000 	 0.5995762 
83500 	 0.7988475 
84000 	 0.7463316 
84500 	 0.7459357 
85000 	 0.4210221 
85500 	 0.578778 
86000 	 0.5594852 
86500 	 0.7431216 
87000 	 0.6601527 
87500 	 0.7143091 
88000 	 0.7202321 
88500 	 0.7809648 
89000 	 0.5439833 
89500 	 0.7241511 
90000 	 0.7243332 
90500 	 0.7385163 
91000 	 0.7047698 
91500 	 0.7139017 
92000 	 0.6879689 
92500 	 0.7587747 
93000 	 0.6054265 
93500 	 0.6786699 
94000 	 0.6118715 
94500 	 0.7198365 
95000 	 0.5405334 
95500 	 0.7534874 
96000 	 0.6757382 
96500 	 0.7807042 
97000 	 0.5536677 
97500 	 0.5577815 
98000 	 0.6877536 
98500 	 0.5868261 
99000 	 0.602257 
99500 	 0.6616113 
100000 	 0.740186 
100500 	 0.6559313 
101000 	 0.6898527 
101500 	 0.6410121 
102000 	 0.629308 
102500 	 0.6643276 
103000 	 0.7359041 
103500 	 0.7216284 
104000 	 0.8107702 
104500 	 0.4673048 
105000 	 0.6532205 
105500 	 0.7111519 
106000 	 0.7855799 
106500 	 0.5227972 
107000 	 0.6486765 
107500 	 0.5881393 
108000 	 0.6685848 
108500 	 0.6155167 
109000 	 0.6136089 
109500 	 0.7291377 
110000 	 0.632099 
110500 	 0.6371644 
111000 	 0.7289306 
111500 	 0.5953648 
112000 	 0.4361934 
112500 	 0.5279753 
113000 	 0.6083705 
113500 	 0.7520805 
114000 	 0.6758996 
114500 	 0.7482617 
115000 	 0.4721665 
115500 	 0.7534076 
116000 	 0.5978361 
116500 	 0.6213809 
117000 	 0.6192912 
117500 	 0.7897514 
118000 	 0.6891811 
118500 	 0.7428028 
119000 	 0.7917083 
119500 	 0.7316142 
120000 	 0.7217457 
120500 	 0.666634 
121000 	 0.6904541 
121500 	 0.6235857 
122000 	 0.7046851 
122500 	 0.5883178 
123000 	 0.7834977 
123500 	 0.8720295 
124000 	 0.6651805 
124500 	 0.6042995 
125000 	 0.7858709 
125500 	 0.7446891 
126000 	 0.8133577 
126500 	 0.5161971 
127000 	 0.6693594 
127500 	 0.7342285 
128000 	 0.7228856 
128500 	 0.6765905 
129000 	 0.6376068 
129500 	 0.7656328 
130000 	 0.7269777 
130500 	 0.570157 
131000 	 0.7578994 
131500 	 0.6811316 
132000 	 0.7458528 
132500 	 0.6221597 
133000 	 0.6132389 
133500 	 0.7019799 
134000 	 0.6410303 
134500 	 0.7916343 
135000 	 0.6302359 
135500 	 0.6669822 
136000 	 0.6583435 
136500 	 0.7076644 
137000 	 0.7445128 
137500 	 0.6087765 
138000 	 0.6594243 
138500 	 0.5471237 
139000 	 0.6914745 
139500 	 0.7004474 
140000 	 0.6627742 
140500 	 0.7579228 
141000 	 0.488958 
141500 	 0.6868745 
142000 	 0.7153344 
142500 	 0.7245132 
143000 	 0.6872191 
143500 	 0.7438733 
144000 	 0.686811 
144500 	 0.5952859 
145000 	 0.7034966 
145500 	 0.6171824 
146000 	 0.8815965 
146500 	 0.6889408 
147000 	 0.8193649 
147500 	 0.5702029 
148000 	 0.6510901 
148500 	 0.7465273 
149000 	 0.6665756 
149500 	 0.7047297 
150000 	 0.7428173 
150500 	 0.5455322 
151000 	 0.6479595 
151500 	 0.7743408 
152000 	 0.5560649 
152500 	 0.5912246 
153000 	 0.7845139 
153500 	 0.519682 
154000 	 0.587358 
154500 	 0.6987179 
155000 	 0.5984695 
155500 	 0.7682949 
156000 	 0.6593505 
156500 	 0.7490268 
157000 	 0.6309272 
157500 	 0.61809 
158000 	 0.6686165 
158500 	 0.8719501 
159000 	 0.6211892 
159500 	 0.6803135 
160000 	 0.6758585 
160500 	 0.7886532 
161000 	 0.7051726 
161500 	 0.5335233 
162000 	 0.6161216 
162500 	 0.7148928 
163000 	 0.6540108 
163500 	 0.5766611 
164000 	 0.6005617 
164500 	 0.6318483 
165000 	 0.5517123 
165500 	 0.7257302 
166000 	 0.5208852 
166500 	 0.6794619 
167000 	 0.5577005 
167500 	 0.6664019 
168000 	 0.6585869 
168500 	 0.7786877 
169000 	 0.6116956 
169500 	 0.5607577 
170000 	 0.6255763 
170500 	 0.7272026 
171000 	 0.5747189 
171500 	 0.6513161 
172000 	 0.6299855 
172500 	 0.7733678 
173000 	 0.5665425 
173500 	 0.6366808 
174000 	 0.5953069 
174500 	 0.6600189 
175000 	 0.8160629 
175500 	 0.6217015 
176000 	 0.7457877 
176500 	 0.5788769 
177000 	 0.5953167 
177500 	 0.7619615 
178000 	 0.7965038 
178500 	 0.7935663 
179000 	 0.6758514 
179500 	 0.4857554 
180000 	 0.7814685 
180500 	 0.6420925 
181000 	 0.6292045 
181500 	 0.6761509 
182000 	 0.6658303 
182500 	 0.5979438 
183000 	 0.6576767 
183500 	 0.6218392 
184000 	 0.6641173 
184500 	 0.6392535 
185000 	 0.6291649 
185500 	 0.7529193 
186000 	 0.6502423 
186500 	 0.7290861 
187000 	 0.6978813 
187500 	 0.544406 
188000 	 0.5924862 
188500 	 0.6075093 
189000 	 0.5871136 
189500 	 0.6572205 
190000 	 0.6563795 
190500 	 0.7583409 
191000 	 0.5013905 
191500 	 0.5820446 
192000 	 0.6153169 
192500 	 0.5907111 
193000 	 0.6145997 
193500 	 0.7036459 
194000 	 0.5217475 
194500 	 0.528059 
195000 	 0.5290749 
195500 	 0.6275279 
196000 	 0.6529559 
196500 	 0.8296996 
197000 	 0.6147327 
197500 	 0.7493239 
198000 	 0.7510749 
198500 	 0.402205 
199000 	 0.8283365 
199500 	 0.6189931 
200000 	 0.7239287 
200500 	 0.6179249 
201000 	 0.7310003 
201500 	 0.4277657 
202000 	 0.612091 
202500 	 0.6510494 
203000 	 0.8301686 
203500 	 0.795498 
204000 	 0.7679861 
204500 	 0.720851 
205000 	 0.4068796 
205500 	 0.5850226 
206000 	 0.6603242 
206500 	 0.6269349 
207000 	 0.637119 
207500 	 0.6745924 
208000 	 0.7840923 
208500 	 0.7431108 
209000 	 0.6972811 
209500 	 0.5130592 
210000 	 0.5857134 
210500 	 0.4700971 
211000 	 0.6784251 
211500 	 0.6401124 
212000 	 0.6350697 
212500 	 0.5775112 
213000 	 0.6331913 
213500 	 0.7128987 
214000 	 0.6021238 
214500 	 0.8075394 
215000 	 0.6675887 
215500 	 0.6586079 
216000 	 0.5824257 
216500 	 0.6044076 
217000 	 0.5715653 
217500 	 0.7284522 
218000 	 0.8111568 
218500 	 0.6905133 
219000 	 0.5305233 
219500 	 0.5204301 
220000 	 0.7165018 
220500 	 0.5697117 
221000 	 0.582333 
221500 	 0.6419846 
222000 	 0.6400285 
222500 	 0.634433 
223000 	 0.5730126 
223500 	 0.6136687 
224000 	 0.5351435 
224500 	 0.628441 
225000 	 0.7638922 
225500 	 0.682268 
226000 	 0.716035 
226500 	 0.7519009 
227000 	 0.5003336 
227500 	 0.6216704 
228000 	 0.6636116 
228500 	 0.7780658 
229000 	 0.668586 
229500 	 0.7715045 
230000 	 0.6307993 
230500 	 0.7157079 
231000 	 0.6083408 
231500 	 0.7975973 
232000 	 0.7525597 
232500 	 0.5755576 
233000 	 0.6007256 
233500 	 0.6542897 
234000 	 0.698832 
234500 	 0.7463662 
235000 	 0.5382112 
235500 	 0.7863136 
236000 	 0.5712942 
236500 	 0.7429676 
237000 	 0.5676543 
237500 	 0.6373305 
238000 	 0.811426 
238500 	 0.7796748 
239000 	 0.6760505 
239500 	 0.6205256 
240000 	 0.7351269 
240500 	 0.6885119 
241000 	 0.6476383 
241500 	 0.7775683 
242000 	 0.6656671 
242500 	 0.5762758 
243000 	 0.6863913 
243500 	 0.584057 
244000 	 0.7172298 
244500 	 0.5872423 
245000 	 0.6301647 
245500 	 0.6723114 
246000 	 0.7463875 
246500 	 0.6251352 
247000 	 0.617989 
247500 	 0.6397368 
248000 	 0.5100776 
248500 	 0.5237815 
249000 	 0.8769953 
249500 	 0.7417838 
250000 	 0.6953076 
250500 	 0.5743403 
251000 	 0.6495042 
251500 	 0.7535467 
252000 	 0.6794922 
252500 	 0.6278422 
253000 	 0.5391692 
253500 	 0.8601625 
254000 	 0.7162347 
254500 	 0.7745735 
255000 	 0.5714579 
255500 	 0.5965804 
256000 	 0.7540423 
256500 	 0.6698623 
257000 	 0.6562831 
257500 	 0.563813 
258000 	 0.7120695 
258500 	 0.6256807 
259000 	 0.7226904 
259500 	 0.6467566 
260000 	 0.5595193 
260500 	 0.6829555 
261000 	 0.7112436 
261500 	 0.5789437 
262000 	 0.8025431 
262500 	 0.7805395 
263000 	 0.6845246 
263500 	 0.7036828 
264000 	 0.5139541 
264500 	 0.6645701 
265000 	 0.7974271 
265500 	 0.8199944 
266000 	 0.6855328 
266500 	 0.6101337 
267000 	 0.4904251 
267500 	 0.6254233 
268000 	 0.6746166 
268500 	 0.5367826 
269000 	 0.6987996 
269500 	 0.5950923 
270000 	 0.6402668 
270500 	 0.6630669 
271000 	 0.5155938 
271500 	 0.533765 
272000 	 0.7050269 
272500 	 0.6156879 
273000 	 0.7052034 
273500 	 0.4971321 
274000 	 0.6791192 
274500 	 0.8551315 
275000 	 0.6171127 
275500 	 0.7772577 
276000 	 0.7292398 
276500 	 0.7232489 
277000 	 0.3231702 
277500 	 0.8067675 
278000 	 0.6787176 
278500 	 0.5535727 
279000 	 0.7066164 
279500 	 0.5480644 
280000 	 0.61105 
280500 	 0.412859 
281000 	 0.7029717 
281500 	 0.6961113 
282000 	 0.7738788 
282500 	 0.6583505 
283000 	 0.6155395 
283500 	 0.5482418 
284000 	 0.719165 
284500 	 0.624396 
285000 	 0.744056 
285500 	 0.6474646 
286000 	 0.7046273 
286500 	 0.7027096 
287000 	 0.6456633 
287500 	 0.7403925 
288000 	 0.6260057 
288500 	 0.6501377 
289000 	 0.6387582 
289500 	 0.4533025 
290000 	 0.6540861 
290500 	 0.7075458 
291000 	 0.6396849 
291500 	 0.5631761 
292000 	 0.7004179 
292500 	 0.612948 
293000 	 0.6785046 
293500 	 0.6908706 
294000 	 0.7312048 
294500 	 0.6738617 
295000 	 0.7369764 
295500 	 0.6587335 
296000 	 0.5380409 
296500 	 0.6622221 
297000 	 0.7748044 
297500 	 0.6376249 
298000 	 0.669403 
298500 	 0.7529138 
299000 	 0.6139001 
299500 	 0.5698001 
300000 	 0.4648004 
300500 	 0.6510573 
301000 	 0.7912264 
301500 	 0.592138 
302000 	 0.7197259 
302500 	 0.6540464 
303000 	 0.6538694 
303500 	 0.6764182 
304000 	 0.7283371 
304500 	 0.73266 
305000 	 0.7530692 
305500 	 0.5359182 
306000 	 0.5504739 
306500 	 0.8095694 
307000 	 0.6543898 
307500 	 0.658782 
308000 	 0.5734462 
308500 	 0.7668058 
309000 	 0.4695201 
309500 	 0.8904498 
310000 	 0.7676393 
310500 	 0.6573788 
311000 	 0.6623834 
311500 	 0.6302494 
312000 	 0.5910094 
312500 	 0.6293541 
313000 	 0.680392 
313500 	 0.5484187 
314000 	 0.7419296 
314500 	 0.5136946 
315000 	 0.5700028 
315500 	 0.5522013 
316000 	 0.5855799 
316500 	 0.6461914 
317000 	 0.633617 
317500 	 0.5519767 
318000 	 0.7071813 
318500 	 0.6750035 
319000 	 0.4136319 
319500 	 0.6800161 
320000 	 0.6556215 
320500 	 0.5344023 
321000 	 0.7682544 
321500 	 0.6544635 
322000 	 0.6900576 
322500 	 0.6357977 
323000 	 0.6080072 
323500 	 0.6590509 
324000 	 0.7073632 
324500 	 0.614731 
325000 	 0.6897436 
325500 	 0.5358786 
326000 	 0.5914072 
326500 	 0.5821647 
327000 	 0.6483136 
327500 	 0.5965375 
328000 	 0.6727794 
328500 	 0.5900834 
329000 	 0.6267594 
329500 	 0.6638574 
