iter 	 p
500 	 0.3577691 
1000 	 0.2821552 
1500 	 0.2133054 
2000 	 0.1634363 
2500 	 0.3982538 
3000 	 0.3981874 
3500 	 0.1995399 
4000 	 0.2456805 
4500 	 0.2144519 
5000 	 0.1787693 
5500 	 0.2963895 
6000 	 0.2934295 
6500 	 0.3774663 
7000 	 0.3152789 
7500 	 0.2757811 
8000 	 0.2880255 
8500 	 0.2343021 
9000 	 0.2271362 
9500 	 0.2353818 
10000 	 0.2474327 
10500 	 0.2831742 
11000 	 0.3208909 
11500 	 0.2356796 
12000 	 0.2263156 
12500 	 0.2260177 
13000 	 0.3290724 
13500 	 0.2711392 
14000 	 0.3176251 
14500 	 0.2306018 
15000 	 0.2170804 
15500 	 0.3380796 
16000 	 0.2952539 
16500 	 0.2825119 
17000 	 0.4439151 
17500 	 0.1864515 
18000 	 0.3744087 
18500 	 0.2212263 
19000 	 0.1976751 
19500 	 0.2917315 
20000 	 0.1501962 
20500 	 0.2371467 
21000 	 0.1893914 
21500 	 0.2120065 
22000 	 0.1798865 
22500 	 0.2846605 
23000 	 0.1732474 
23500 	 0.2565551 
24000 	 0.2366058 
24500 	 0.251661 
25000 	 0.2520001 
25500 	 0.3708632 
26000 	 0.3080883 
26500 	 0.2347308 
27000 	 0.3593441 
27500 	 0.3859829 
28000 	 0.3261552 
28500 	 0.2929081 
29000 	 0.285949 
29500 	 0.232147 
30000 	 0.3060585 
30500 	 0.2811084 
31000 	 0.3025566 
31500 	 0.1974593 
32000 	 0.3501475 
32500 	 0.3156693 
33000 	 0.317242 
33500 	 0.2437878 
34000 	 0.2568738 
34500 	 0.2618478 
35000 	 0.2299737 
35500 	 0.2354835 
36000 	 0.2085153 
36500 	 0.2316599 
37000 	 0.2664504 
37500 	 0.4212571 
38000 	 0.184586 
38500 	 0.1917901 
39000 	 0.3609354 
39500 	 0.2309735 
40000 	 0.4670475 
40500 	 0.2240459 
41000 	 0.3990488 
41500 	 0.2539139 
42000 	 0.2818126 
42500 	 0.2586874 
43000 	 0.2274274 
43500 	 0.158681 
44000 	 0.3099979 
44500 	 0.3807601 
45000 	 0.268354 
45500 	 0.214023 
46000 	 0.1850003 
46500 	 0.2453983 
47000 	 0.2916104 
47500 	 0.1469934 
48000 	 0.2524725 
48500 	 0.3157416 
49000 	 0.2434255 
49500 	 0.2259651 
50000 	 0.3501766 
50500 	 0.1511127 
51000 	 0.2064634 
51500 	 0.20226 
52000 	 0.2936737 
52500 	 0.2812891 
53000 	 0.3336996 
53500 	 0.2882056 
54000 	 0.215444 
54500 	 0.2096766 
55000 	 0.3665863 
55500 	 0.2243317 
