iter 	 p
500 	 0.7917715 
1000 	 0.7695396 
1500 	 0.7948701 
2000 	 0.8057969 
2500 	 0.8435119 
3000 	 0.7962825 
3500 	 0.843507 
4000 	 0.8157696 
4500 	 0.7499419 
5000 	 0.7780182 
5500 	 0.7249446 
6000 	 0.8952981 
6500 	 0.8433273 
7000 	 0.8079796 
7500 	 0.7680195 
8000 	 0.7330316 
8500 	 0.8669843 
9000 	 0.8349272 
9500 	 0.8661504 
10000 	 0.782082 
10500 	 0.7982331 
11000 	 0.8186057 
11500 	 0.8785448 
12000 	 0.7787416 
12500 	 0.8466054 
13000 	 0.8535678 
13500 	 0.8400004 
14000 	 0.7997751 
14500 	 0.8295558 
15000 	 0.8254009 
15500 	 0.7785232 
16000 	 0.7120226 
16500 	 0.7861981 
17000 	 0.7850055 
17500 	 0.7342711 
18000 	 0.8051425 
18500 	 0.7815058 
19000 	 0.7995187 
19500 	 0.8121155 
20000 	 0.7897502 
20500 	 0.795815 
21000 	 0.7857868 
21500 	 0.7835884 
22000 	 0.8683516 
22500 	 0.8684431 
23000 	 0.8249687 
23500 	 0.7614601 
24000 	 0.7880465 
24500 	 0.8174057 
25000 	 0.7972493 
25500 	 0.8378485 
26000 	 0.7831223 
26500 	 0.7610405 
27000 	 0.8714008 
27500 	 0.8224101 
28000 	 0.8231889 
28500 	 0.7745881 
29000 	 0.8953037 
29500 	 0.7474727 
30000 	 0.8155345 
30500 	 0.7817113 
31000 	 0.7505884 
31500 	 0.7966324 
32000 	 0.8395692 
32500 	 0.8545675 
33000 	 0.8275573 
33500 	 0.7768364 
34000 	 0.8219043 
34500 	 0.8308158 
35000 	 0.8192112 
35500 	 0.8289698 
36000 	 0.7868579 
36500 	 0.8528643 
37000 	 0.8657769 
37500 	 0.7702589 
38000 	 0.7500305 
38500 	 0.8403672 
39000 	 0.9072612 
39500 	 0.7810429 
40000 	 0.834086 
40500 	 0.7645081 
41000 	 0.7723827 
41500 	 0.8422695 
42000 	 0.7567457 
42500 	 0.8158134 
43000 	 0.7840359 
43500 	 0.795876 
44000 	 0.867956 
44500 	 0.835115 
45000 	 0.8300026 
45500 	 0.825622 
46000 	 0.803394 
46500 	 0.777811 
47000 	 0.7891705 
47500 	 0.7923852 
48000 	 0.8130823 
48500 	 0.8139056 
49000 	 0.8097715 
49500 	 0.7750657 
50000 	 0.792361 
50500 	 0.7854407 
51000 	 0.7268918 
51500 	 0.8002261 
52000 	 0.7622848 
52500 	 0.7960113 
53000 	 0.8636075 
53500 	 0.8147204 
54000 	 0.8194529 
54500 	 0.8663575 
55000 	 0.774028 
55500 	 0.7416102 
56000 	 0.7834305 
56500 	 0.8605056 
57000 	 0.8526932 
57500 	 0.7966893 
