iter 	 p
500 	 0.234032 
1000 	 0.3199551 
1500 	 0.2512875 
2000 	 0.2292922 
2500 	 0.3000539 
3000 	 0.2539113 
3500 	 0.2465562 
4000 	 0.2431635 
4500 	 0.2435057 
5000 	 0.1594452 
5500 	 0.2576619 
6000 	 0.2845804 
6500 	 0.2524462 
7000 	 0.2493396 
7500 	 0.281627 
8000 	 0.221496 
8500 	 0.2467422 
9000 	 0.3112285 
9500 	 0.2347451 
10000 	 0.3653691 
10500 	 0.3426404 
11000 	 0.2744494 
11500 	 0.318113 
12000 	 0.2750001 
12500 	 0.2458415 
13000 	 0.2200432 
13500 	 0.2878433 
14000 	 0.1842692 
14500 	 0.266699 
15000 	 0.383926 
15500 	 0.1986058 
16000 	 0.1975525 
16500 	 0.1956608 
17000 	 0.2406652 
17500 	 0.2165987 
18000 	 0.3157233 
18500 	 0.3743867 
19000 	 0.2961641 
19500 	 0.3072452 
20000 	 0.3186657 
20500 	 0.1668445 
21000 	 0.2278845 
21500 	 0.2911679 
22000 	 0.1676096 
22500 	 0.226989 
23000 	 0.1952484 
23500 	 0.2428588 
24000 	 0.3548234 
24500 	 0.301845 
25000 	 0.1924425 
25500 	 0.1832166 
26000 	 0.2205353 
26500 	 0.217068 
27000 	 0.3458718 
27500 	 0.3522117 
28000 	 0.1692629 
28500 	 0.2302151 
29000 	 0.3069566 
29500 	 0.2854471 
30000 	 0.3333295 
30500 	 0.2555045 
31000 	 0.1983866 
31500 	 0.2840639 
32000 	 0.2731422 
32500 	 0.2056123 
33000 	 0.2141898 
33500 	 0.2544018 
34000 	 0.3239433 
34500 	 0.3403554 
35000 	 0.2125069 
35500 	 0.384875 
36000 	 0.2360517 
36500 	 0.3441117 
37000 	 0.247183 
37500 	 0.2780247 
38000 	 0.1911831 
38500 	 0.294993 
39000 	 0.2673441 
39500 	 0.1851926 
40000 	 0.1960836 
40500 	 0.2634627 
41000 	 0.3001832 
41500 	 0.2405572 
42000 	 0.2687453 
42500 	 0.2620764 
43000 	 0.3232013 
43500 	 0.2448777 
44000 	 0.1919636 
44500 	 0.2425642 
45000 	 0.2619418 
45500 	 0.2323127 
46000 	 0.2839113 
46500 	 0.2117594 
47000 	 0.249942 
47500 	 0.3176204 
48000 	 0.2923506 
48500 	 0.2528883 
49000 	 0.1867474 
49500 	 0.2756661 
50000 	 0.2274454 
50500 	 0.3138008 
51000 	 0.3002773 
51500 	 0.2252928 
52000 	 0.2554988 
52500 	 0.2198306 
53000 	 0.2287564 
53500 	 0.2789181 
54000 	 0.2285593 
54500 	 0.2557774 
55000 	 0.2229331 
55500 	 0.2724167 
56000 	 0.2464059 
56500 	 0.2364071 
57000 	 0.2334242 
57500 	 0.2735487 
58000 	 0.2613643 
58500 	 0.2698445 
59000 	 0.1948832 
59500 	 0.3498075 
60000 	 0.23471 
60500 	 0.2332789 
61000 	 0.2754443 
61500 	 0.135663 
62000 	 0.2858129 
62500 	 0.1403113 
63000 	 0.1988612 
63500 	 0.220956 
64000 	 0.1572402 
