iter	p__loc1	p__loc2	p__loc3	p__loc4	p__loc5	p__loc6	p__loc7	p__loc8	p__loc9	p__loc10	p__loc11	p__loc12	p__loc13	p__loc14	p__loc15	p__loc16	p__loc17	p__loc18	p__loc19	p__loc20	p__loc21	p__loc22	p__loc23	p__loc24	p__loc25	p__loc26	p__loc27	p__loc28	p__loc29	p__loc30	p__loc31	p__loc32	p__loc33	p__loc34	p__loc35	p__loc36	p__loc37	p__loc38	p__loc39	p__loc40	p__loc41	p__loc42	p__loc43	p__loc44	p__loc45	p__loc46	p__loc47	p__loc48	p__loc49	p__loc50	p__loc51	p__loc52	p__loc53	p__loc54	p__loc55	p__loc56	p__loc57	p__loc58	p__loc59	p__loc60	p__loc61	p__loc62	p__loc63	p__loc64	p__loc65	p__loc66	p__loc67	p__loc68	p__loc69	p__loc70	p__loc71	p__loc72	p__loc73	p__loc74	p__loc75	p__loc76	p__loc77	p__loc78	p__loc79	p__loc80	p__loc81	p__loc82	p__loc83	p__loc84	p__loc85	p__loc86	p__loc87	p__loc88	p__loc89	p__loc90	p__loc91	p__loc92	p__loc93	p__loc94	p__loc95	p__loc96	p__loc97	p__loc98	p__loc99	p__loc100
100	0.2479641	0.1420695	0.2267409	0.2414205	0.1523792	0.2834851	0.1741119	0.2138608	0.2099447	0.2409151	0.2747661	0.2294953	0.2453771	0.2321661	0.1910936	0.1309824	0.1412647	0.1539542	0.2387123	0.1779519	0.1775982	0.1904403	0.1346919	0.2182393	0.174091	0.2258743	0.2549778	0.3077767	0.2390982	0.2449646	0.194321	0.1161224	0.2396445	0.2703999	0.205229	0.1082085	0.241432	0.2339805	0.2028008	0.2501581	0.122021	0.197951	0.121452	0.1785644	0.236867	0.1640996	0.1494358	0.1617091	0.2055052	0.1740773	0.2654211	0.1514914	0.1322057	0.2866964	0.2919937	0.1934412	0.1891242	0.1935788	0.1381495	0.1870918	0.171186	0.2198592	0.3072601	0.3671836	0.1509258	0.1595734	0.2452118	0.1835062	0.1545994	0.2684093	0.1707209	0.2623017	0.1953173	0.1859798	0.1357549	0.260343	0.328566	0.2331578	0.2771413	0.1775481	0.201071	0.2054922	0.2061244	0.1601778	0.231523	0.1773964	0.1503925	0.2147734	0.1597476	0.155454	0.1835987	0.2088651	0.2660661	0.1542517	0.1465325	0.1631549	0.1636966	0.2202877	0.1846082	0.2472732
200	0.2410374	0.2506224	0.1944932	0.2676764	0.2006259	0.2833071	0.211567	0.2466551	0.2270723	0.2132831	0.2034527	0.1732047	0.1710287	0.2477149	0.1434451	0.1780814	0.1755955	0.112519	0.1839138	0.2309352	0.1482524	0.2025106	0.182404	0.2106216	0.2285893	0.2327656	0.2642799	0.2606666	0.2036261	0.178792	0.3174814	0.151713	0.2104649	0.2317887	0.1830774	0.1818109	0.1884392	0.3136464	0.2760683	0.1820925	0.1142628	0.1908066	0.1632224	0.2440555	0.3416816	0.2391755	0.2644299	0.1813382	0.186901	0.2067049	0.193332	0.1894488	0.1939567	0.2228378	0.2318258	0.1692503	0.1207785	0.1430526	0.2553908	0.2044206	0.1648988	0.1590073	0.2654868	0.2643247	0.1635612	0.134638	0.2365228	0.2315874	0.2112067	0.2865822	0.2360617	0.2170917	0.2184116	0.2292875	0.1246	0.2790124	0.2717095	0.2004273	0.2704576	0.2495262	0.1770644	0.1839898	0.2415945	0.1222688	0.1877968	0.1798109	0.1560656	0.196679	0.1258586	0.1474898	0.1754387	0.1391553	0.2702981	0.1774216	0.2253103	0.1702621	0.2739693	0.1580519	0.1799849	0.2354173
300	0.2296059	0.1828073	0.2277054	0.2204617	0.1290257	0.2371627	0.2253615	0.2465145	0.2415977	0.1937916	0.263612	0.1786242	0.1729357	0.1895881	0.1777625	0.11438	0.1642438	0.1797084	0.2098675	0.1956628	0.1903728	0.1711863	0.1787106	0.190925	0.1638483	0.2117059	0.2881005	0.2984593	0.2097193	0.2575081	0.2182168	0.1293558	0.18667	0.2933937	0.1946515	0.123051	0.2678807	0.3347902	0.2599065	0.1988986	0.1309061	0.1910753	0.1649042	0.1540172	0.2465787	0.2163903	0.2067442	0.204787	0.2255845	0.1856643	0.1346888	0.1661274	0.1734553	0.1991686	0.2085603	0.2277269	0.2361486	0.1982718	0.1037169	0.1985853	0.1442036	0.1547457	0.3558173	0.3140177	0.1510089	0.1863592	0.2758686	0.1459795	0.2186968	0.2793209	0.2045153	0.2715206	0.1814386	0.2684641	0.2521458	0.2104277	0.2314031	0.1796005	0.3032683	0.2514346	0.2237344	0.2303126	0.1992672	0.1310212	0.2357652	0.1799152	0.1399901	0.176853	0.1531338	0.1493362	0.1850693	0.1964334	0.2652883	0.2257872	0.1913075	0.2159511	0.1877384	0.2232445	0.1149961	0.2064411
400	0.2634146	0.2087556	0.2213022	0.3253866	0.1871002	0.2327956	0.1620366	0.2277212	0.2159604	0.2295663	0.1873133	0.2473751	0.2479935	0.1559436	0.1698299	0.163865	0.172525	0.1879428	0.2051647	0.2569738	0.1260013	0.1850939	0.2394165	0.2281947	0.2056706	0.2078233	0.2689916	0.2568938	0.1615534	0.145993	0.2796414	0.1621164	0.2568743	0.2234887	0.1903058	0.140006	0.2515667	0.2175807	0.2074991	0.2204473	0.1657188	0.1881721	0.1923034	0.1444335	0.2735269	0.2635758	0.2549872	0.2431366	0.173637	0.2022992	0.1995503	0.2357252	0.2089744	0.2248098	0.2478852	0.1619048	0.1769229	0.1937918	0.132313	0.1776382	0.2130444	0.2071401	0.2775548	0.2632833	0.199965	0.2074194	0.2223475	0.1066368	0.1563018	0.1907195	0.2310323	0.2861248	0.2493361	0.2056017	0.1932506	0.1771967	0.2199728	0.1558891	0.2496353	0.1946648	0.2386773	0.1929362	0.2213152	0.1052378	0.2255426	0.1852821	0.1182454	0.19251	0.2061534	0.1474034	0.1886629	0.1696874	0.2372919	0.1494603	0.2179475	0.1725988	0.192908	0.1908646	0.1377957	0.2447428
500	0.2155699	0.1418082	0.2338368	0.2701396	0.1371605	0.2624382	0.1240286	0.170756	0.2382028	0.1912007	0.1718889	0.2119601	0.2193408	0.2406084	0.1733261	0.169696	0.154563	0.1604567	0.1082396	0.2336874	0.1708851	0.2032386	0.1780793	0.2191165	0.1874259	0.2196785	0.250613	0.318435	0.2418744	0.2455642	0.2805029	0.1641905	0.2601091	0.1765116	0.1583572	0.1758158	0.2223499	0.3018653	0.2174124	0.1653331	0.1124269	0.2185015	0.2188297	0.1437705	0.2430834	0.2127256	0.2347346	0.2532696	0.2272217	0.1102168	0.1825889	0.200401	0.1266555	0.2194574	0.2164332	0.1334946	0.1851311	0.1923194	0.1574269	0.1909427	0.1222868	0.1732656	0.2681175	0.227096	0.2056841	0.1316139	0.2864733	0.2166644	0.1831856	0.211147	0.1851922	0.2025386	0.1836846	0.3205407	0.1421154	0.2189701	0.2446993	0.1957405	0.1544149	0.2411849	0.198536	0.1751907	0.2234476	0.132782	0.2719711	0.2349613	0.1519576	0.2843923	0.1516295	0.1993682	0.1697641	0.1095968	0.2596204	0.1106212	0.1872496	0.2510769	0.2248395	0.1905231	0.09823849	0.1988949
600	0.3611694	0.1605351	0.2634258	0.2660249	0.2172455	0.2415635	0.1715274	0.2365552	0.1813817	0.2528926	0.160028	0.1985966	0.2173972	0.1630039	0.2087821	0.1248748	0.1954057	0.1191525	0.1959122	0.1572314	0.1678732	0.2633521	0.1734655	0.2049104	0.1512891	0.2709417	0.179391	0.2736688	0.1840858	0.2119338	0.1957362	0.1226098	0.2229233	0.3062326	0.1747245	0.1156068	0.3266288	0.182703	0.2764889	0.2110195	0.1547165	0.217023	0.1541566	0.2105302	0.2287642	0.1432087	0.2071656	0.1421628	0.2156963	0.281879	0.1543836	0.2564958	0.1723113	0.1318346	0.2283936	0.1467811	0.2369941	0.1337581	0.168725	0.2378738	0.1291701	0.1561053	0.1874504	0.2208222	0.260811	0.2088867	0.2316206	0.189304	0.2114129	0.2405904	0.235289	0.2063408	0.1851297	0.286896	0.1888216	0.2514093	0.3125311	0.1910713	0.3075151	0.2452364	0.1948303	0.2188078	0.2788203	0.1484324	0.2077089	0.1767484	0.1543942	0.2227628	0.1388608	0.1597484	0.2198974	0.1499067	0.2319002	0.2275917	0.2257947	0.144656	0.149761	0.1812943	0.160386	0.220078
700	0.1655248	0.2209647	0.1980759	0.2651186	0.1581366	0.1872722	0.2022554	0.1685365	0.2649231	0.2330443	0.1818691	0.3079564	0.1705273	0.2192157	0.3065691	0.1531148	0.168837	0.1285133	0.1763899	0.1655604	0.1919251	0.2521181	0.214674	0.2639796	0.1862051	0.2489428	0.2502441	0.1874273	0.2081483	0.2639049	0.2224356	0.1404115	0.2095614	0.1867042	0.2841967	0.1129506	0.22282	0.233215	0.1997454	0.1757336	0.1556824	0.2356213	0.1980673	0.1493082	0.1697017	0.2869919	0.1910683	0.1861008	0.2278134	0.2892784	0.271958	0.2035074	0.1413631	0.2390169	0.2286841	0.1494667	0.1679613	0.1884048	0.1698239	0.194901	0.1628401	0.2482266	0.329937	0.3298853	0.1464929	0.2036752	0.2284944	0.1960547	0.1533814	0.3012752	0.1722633	0.2188487	0.2735656	0.2121701	0.1790896	0.2520511	0.260952	0.2149248	0.2409665	0.1485967	0.1707238	0.2082717	0.2739323	0.1327896	0.2361458	0.215461	0.125043	0.2223369	0.1392204	0.2303	0.1906509	0.2351452	0.2392972	0.2283244	0.2397931	0.1606171	0.2320823	0.2194937	0.1149599	0.243598
800	0.2467518	0.2095244	0.23119	0.2812366	0.132477	0.2109193	0.157932	0.2121049	0.1695797	0.1888014	0.2332812	0.1769096	0.1935641	0.18442	0.2175571	0.1650873	0.184317	0.1922195	0.1873309	0.1096419	0.186483	0.1458726	0.1535188	0.2532815	0.1578594	0.2566231	0.2211774	0.2356968	0.1376527	0.2640734	0.2663051	0.1759041	0.212774	0.2137951	0.1571878	0.215618	0.2703374	0.2654755	0.2566465	0.1694289	0.1470057	0.1670496	0.1910731	0.1917879	0.2302985	0.2064338	0.1934934	0.1106471	0.2092968	0.2588354	0.2293284	0.239787	0.1164027	0.2537691	0.1763197	0.2087442	0.1889051	0.2109954	0.170374	0.1485129	0.09609577	0.1509891	0.2570972	0.2410923	0.1713714	0.1571756	0.1914693	0.1985496	0.1756907	0.3108551	0.2422295	0.2031756	0.3339256	0.1834735	0.1224854	0.2710974	0.2409848	0.240375	0.1921644	0.2175167	0.2086773	0.2438113	0.2050458	0.1148864	0.2201108	0.2096813	0.09692862	0.2354009	0.1645739	0.1580179	0.1710469	0.1888577	0.3188357	0.1952289	0.1463446	0.1577086	0.1197631	0.2711239	0.1554676	0.2061267
900	0.2435511	0.1820944	0.1853573	0.2738722	0.1450236	0.2812122	0.1913933	0.2197788	0.1879776	0.2544128	0.2749024	0.1905602	0.1747593	0.1566724	0.222247	0.1346908	0.2120774	0.194407	0.1797031	0.1741399	0.2105926	0.1485462	0.1930807	0.2000176	0.2117344	0.2599242	0.3090762	0.2911141	0.1910806	0.2208249	0.2082786	0.1614665	0.1851043	0.2504273	0.1790367	0.164019	0.2709065	0.2799219	0.2820901	0.1850719	0.1894258	0.271437	0.2003544	0.2466361	0.2492514	0.2701757	0.1900907	0.2020443	0.2330205	0.1950647	0.2021113	0.178484	0.1249162	0.2303021	0.2166501	0.1933055	0.1561767	0.1740899	0.1520893	0.1989253	0.1050579	0.2485342	0.3524231	0.2173293	0.1675187	0.1632064	0.2375426	0.20336	0.1876465	0.3031131	0.2241133	0.3285617	0.278496	0.2543639	0.08834311	0.2094588	0.2388268	0.1801098	0.3043123	0.2087767	0.2384741	0.1743396	0.3184661	0.1166807	0.1790587	0.1682083	0.1360073	0.269048	0.09509094	0.124951	0.138828	0.1917569	0.2531402	0.2289896	0.1563624	0.1741722	0.1651985	0.2155127	0.1666703	0.2324396
1000	0.1867418	0.1827203	0.1899242	0.2689294	0.2151349	0.2079885	0.1838941	0.300881	0.2006895	0.1535079	0.170865	0.1986307	0.1539946	0.2559195	0.1856809	0.1612677	0.1930109	0.1247977	0.1304374	0.220379	0.2354994	0.1914177	0.1316515	0.2420349	0.2285614	0.2655161	0.2662962	0.3212647	0.1897606	0.1801283	0.2658675	0.1011077	0.2499401	0.2073723	0.2263488	0.2025494	0.2611397	0.2408861	0.2476496	0.1430102	0.1468166	0.228564	0.1319097	0.1611628	0.2103468	0.3139309	0.09501516	0.2252395	0.2359211	0.2614561	0.2049577	0.2064721	0.1724935	0.2286624	0.2187792	0.1990434	0.1306006	0.1925357	0.1669203	0.1885959	0.1966175	0.2431911	0.3236955	0.202605	0.2275975	0.2390635	0.2481099	0.1415346	0.2719279	0.2102552	0.2179524	0.18173	0.2148308	0.260589	0.1727244	0.2575952	0.2942892	0.242193	0.2226704	0.1847667	0.1700976	0.2000126	0.1903219	0.123754	0.2042272	0.1934362	0.1068729	0.233566	0.2346086	0.1860108	0.1989167	0.1500574	0.2939512	0.1641955	0.1901733	0.192999	0.1541294	0.147608	0.145538	0.2372545
1100	0.1990975	0.1876967	0.2269499	0.3145042	0.1588031	0.2209001	0.24467	0.2425433	0.1634925	0.2732958	0.2971286	0.2273516	0.2219081	0.2419898	0.1687196	0.1381394	0.1977149	0.1822676	0.199099	0.1501326	0.1948647	0.1579567	0.2087382	0.2283573	0.1725975	0.229928	0.2115752	0.2467644	0.1613537	0.2192046	0.1957302	0.2405961	0.2102375	0.2352763	0.2218784	0.1693697	0.2476415	0.3029493	0.2591725	0.2082961	0.2274508	0.2060421	0.1665632	0.1955059	0.2500401	0.2629378	0.126913	0.1881926	0.1742331	0.2370368	0.190164	0.2610687	0.1598271	0.2062966	0.2900253	0.1367287	0.1551274	0.1925854	0.1468717	0.1565226	0.148416	0.1443889	0.2343628	0.2643692	0.124792	0.1661555	0.1593104	0.1558443	0.2144585	0.2492507	0.2681667	0.2881285	0.3110055	0.2210386	0.1504065	0.2191413	0.258102	0.2945174	0.3029968	0.2025008	0.2133219	0.268698	0.210191	0.1011396	0.215861	0.1944701	0.1291245	0.2395492	0.1439717	0.2427651	0.1391967	0.2484415	0.269699	0.1592023	0.1561003	0.1825901	0.1764656	0.1797235	0.1312836	0.2051484
1200	0.2401032	0.1846879	0.1588944	0.3313937	0.1562188	0.2146611	0.1875257	0.2465783	0.201162	0.1822908	0.2034972	0.1937767	0.1873	0.23215	0.3012148	0.1537262	0.1796295	0.1266285	0.1584366	0.09838125	0.137773	0.2613659	0.2514744	0.2343457	0.2386781	0.2519678	0.2814688	0.239434	0.145413	0.2373887	0.2290158	0.1675799	0.199442	0.2072447	0.2125341	0.228335	0.2493241	0.175858	0.2922494	0.2359712	0.1373894	0.2000752	0.2195892	0.2296207	0.2616342	0.2071524	0.1865089	0.1916869	0.1784025	0.228631	0.1973361	0.2254806	0.1541286	0.175917	0.2420304	0.1606156	0.2211939	0.1453955	0.08864016	0.180016	0.1252324	0.1908071	0.343122	0.27939	0.1296727	0.2114471	0.1567609	0.1498354	0.1780108	0.3239526	0.303422	0.2329281	0.2205296	0.2553634	0.1574261	0.2629055	0.2195323	0.2269697	0.2424543	0.1940442	0.2541155	0.1693775	0.2205705	0.1820977	0.2057721	0.2552723	0.1098603	0.3191279	0.2093159	0.2013353	0.2260618	0.1300083	0.2625684	0.1552198	0.146608	0.2328461	0.1805015	0.2137827	0.1159529	0.2566508
1300	0.1892773	0.1938501	0.277557	0.2593497	0.1037225	0.2449251	0.1606397	0.1881347	0.1466219	0.1572882	0.2800549	0.2138023	0.1843949	0.2853032	0.244899	0.1777959	0.2207336	0.1129478	0.1671671	0.1967982	0.1510501	0.1987936	0.1945386	0.2296881	0.1767177	0.2964263	0.21162	0.3286599	0.2080678	0.2586705	0.1946071	0.1317215	0.263508	0.2282669	0.2015254	0.1305821	0.2048687	0.3050771	0.2287344	0.1628399	0.103655	0.1728617	0.1780344	0.2251083	0.2332531	0.326158	0.1322006	0.2155855	0.2235523	0.1926245	0.1676971	0.1642876	0.1813787	0.181942	0.2544818	0.1533243	0.1712693	0.2219975	0.1291696	0.1361708	0.1730759	0.2071808	0.3026229	0.2967142	0.2146701	0.1347451	0.2359064	0.1808507	0.1187224	0.3010879	0.2691867	0.188892	0.1779992	0.2635504	0.2438506	0.1775934	0.1988131	0.1410068	0.2454419	0.2331501	0.1342765	0.1405877	0.2092352	0.1672173	0.2131834	0.2283576	0.1228881	0.2289461	0.1325518	0.1898686	0.1431152	0.1846512	0.2708568	0.1442968	0.1789241	0.2491421	0.2276298	0.1810684	0.2504643	0.2199353
