iter	p__loc1	p__loc2	p__loc3	p__loc4	p__loc5	p__loc6	p__loc7	p__loc8	p__loc9	p__loc10	p__loc11	p__loc12	p__loc13	p__loc14	p__loc15	p__loc16	p__loc17	p__loc18	p__loc19	p__loc20	p__loc21	p__loc22	p__loc23	p__loc24	p__loc25	p__loc26	p__loc27	p__loc28	p__loc29	p__loc30	p__loc31	p__loc32	p__loc33	p__loc34	p__loc35	p__loc36	p__loc37	p__loc38	p__loc39	p__loc40	p__loc41	p__loc42	p__loc43	p__loc44	p__loc45	p__loc46	p__loc47	p__loc48	p__loc49	p__loc50	p__loc51	p__loc52	p__loc53	p__loc54	p__loc55	p__loc56	p__loc57	p__loc58	p__loc59	p__loc60	p__loc61	p__loc62	p__loc63	p__loc64	p__loc65	p__loc66	p__loc67	p__loc68	p__loc69	p__loc70	p__loc71	p__loc72	p__loc73	p__loc74	p__loc75	p__loc76	p__loc77	p__loc78	p__loc79	p__loc80	p__loc81	p__loc82	p__loc83	p__loc84	p__loc85	p__loc86	p__loc87	p__loc88	p__loc89	p__loc90	p__loc91	p__loc92	p__loc93	p__loc94	p__loc95	p__loc96	p__loc97	p__loc98	p__loc99	p__loc100
1100	0.02736613	0.05881394	0.03434228	0.03074926	0.05721508	0.1239318	0.05454917	0.05704929	0.1144492	0.04806724	0.04543426	0.1473896	0.049711	0.06465468	0.06946341	0.04985188	0.03585934	0.05889113	0.03115545	0.04133504	0.05928278	0.06670643	0.07188058	0.07197894	0.09673821	0.03722799	0.03770379	0.09644628	0.04530196	0.09330429	0.05562658	0.03357197	0.02162296	0.07689546	0.07896616	0.1019763	0.1155358	0.04446527	0.07799343	0.1341907	0.02131048	0.09452947	0.08161857	0.1227018	0.05506609	0.05121639	0.1367029	0.06830026	0.08572554	0.008232304	0.04927355	0.06662579	0.1495213	0.06259114	0.1179913	0.03880479	0.04103673	0.01752641	0.07465092	0.06044877	0.01598115	0.1057312	0.02024156	0.1060833	0.06213303	0.08548445	0.04153004	0.02084434	0.04513674	0.112472	0.07184264	0.08120561	0.04257289	0.07159522	0.03894922	0.06024884	0.1083376	0.1215215	0.04094209	0.06736399	0.0457474	0.0410422	0.08287083	0.1001888	0.07258038	0.01434812	0.11035	0.05660364	0.04398505	0.08338077	0.06686048	0.07974823	0.07811489	0.06685308	0.07612729	0.02498718	0.0873578	0.04193321	0.08341725	0.08907933
1200	0.06269507	0.0686333	0.03787279	0.07794477	0.03956474	0.06442577	0.05453098	0.06310365	0.09462071	0.1025842	0.07864904	0.07925728	0.03090792	0.0270502	0.0392379	0.03986699	0.04184167	0.06114112	0.07755923	0.08850169	0.02597525	0.05959599	0.06142297	0.07611839	0.0754568	0.03220058	0.02270273	0.01508488	0.03805611	0.06171408	0.0545026	0.07653697	0.03052674	0.05672326	0.07794156	0.06173439	0.07774955	0.05689766	0.06353843	0.06658126	0.03352119	0.119939	0.07483005	0.1251239	0.09414479	0.07101897	0.05829859	0.05160388	0.07285725	0.02350696	0.02755442	0.03768731	0.1239961	0.1560539	0.1105401	0.1043253	0.03669681	0.02644173	0.07557432	0.06277403	0.053297	0.07982527	0.02748867	0.09833518	0.04766288	0.08975165	0.03875026	0.03243124	0.06784307	0.06723312	0.02549853	0.07536643	0.0548585	0.1262488	0.07462673	0.04412872	0.09805826	0.06470012	0.02838503	0.09093862	0.06019167	0.04576666	0.07638013	0.09847772	0.07846615	0.01843128	0.06688816	0.0730413	0.04938823	0.08762992	0.06565315	0.07128425	0.05394189	0.03600329	0.06818323	0.01293586	0.07375942	0.07834686	0.0878627	0.06586087
1300	0.02362454	0.03682468	0.04430371	0.03758813	0.03895466	0.07787029	0.05996403	0.08794085	0.1082005	0.1014079	0.06935201	0.03029735	0.0432086	0.05251609	0.03803952	0.06994661	0.03402351	0.0683193	0.02477887	0.05743222	0.04077158	0.04302242	0.03048844	0.06995672	0.05641169	0.01553597	0.06625135	0.03855832	0.03197037	0.1000618	0.04533918	0.03238862	0.03092314	0.1102558	0.1171902	0.09706072	0.07226981	0.0763142	0.1005573	0.09093585	0.03601818	0.07123968	0.04038385	0.07223771	0.06412466	0.08538008	0.07034147	0.07755787	0.04979415	0.03283862	0.0336171	0.05336373	0.1177254	0.08544993	0.07553237	0.04661146	0.04436793	0.03271624	0.07702666	0.02711973	0.03380157	0.05047074	0.01585713	0.1039772	0.06322784	0.05206151	0.03974733	0.01064401	0.0222211	0.145333	0.05259527	0.05613788	0.06211167	0.1004805	0.05261484	0.03202419	0.08303388	0.09234553	0.04780503	0.06824112	0.06347422	0.07520765	0.08100387	0.09024419	0.04799584	0.02009032	0.03113879	0.07168309	0.04103173	0.1131307	0.05309385	0.06638012	0.0791915	0.03805397	0.06492478	0.01788166	0.07206589	0.03801206	0.07665026	0.1027941
1400	0.02625947	0.05867205	0.03374614	0.05528159	0.09277141	0.1141103	0.03188293	0.07153887	0.06770657	0.09400828	0.05209331	0.0873482	0.07207184	0.03434632	0.08332218	0.02795276	0.05714432	0.05625878	0.04636731	0.1214709	0.02187802	0.05171921	0.03856673	0.07199332	0.07726661	0.04365318	0.03800473	0.04484019	0.03282908	0.07038344	0.0690335	0.06168267	0.07238474	0.03497346	0.09023109	0.09168734	0.075243	0.05517826	0.04674198	0.0650871	0.03245597	0.1043014	0.03481229	0.1292374	0.1037621	0.04671402	0.1161393	0.0519524	0.02378657	0.00938802	0.06325999	0.0695116	0.07816692	0.08253401	0.06528284	0.05970547	0.03810812	0.03905768	0.08912205	0.05539642	0.04766678	0.05859902	0.05028618	0.07529865	0.09159232	0.03525781	0.07497063	0.04959582	0.01728882	0.06106491	0.01433891	0.08065879	0.05069184	0.04277987	0.06594485	0.05339992	0.1464702	0.1198045	0.06203055	0.04266634	0.04102191	0.0651366	0.0359673	0.1134407	0.04983701	0.02133154	0.0502533	0.07809138	0.0514896	0.09680718	0.08699309	0.1023533	0.1444658	0.05759308	0.0564519	0.03782472	0.1295465	0.02571127	0.05643667	0.03449762
1500	0.03805683	0.08959318	0.04132447	0.05109759	0.09210737	0.06833591	0.05537245	0.08999555	0.0661248	0.07052529	0.03614602	0.1328798	0.0367717	0.0597296	0.08776516	0.0330831	0.0372825	0.09858834	0.04885667	0.0816746	0.03701335	0.06784997	0.07129328	0.06146516	0.06232261	0.02408522	0.0395916	0.03727613	0.07582736	0.04790034	0.04390978	0.04247443	0.05906155	0.02820129	0.08739445	0.06676235	0.07461623	0.09749668	0.07599575	0.06338961	0.05204439	0.08510438	0.1071699	0.05602384	0.1031672	0.02645839	0.1346688	0.09357023	0.09844473	0.03024989	0.06040952	0.05366141	0.0957801	0.08990261	0.08529344	0.04528137	0.04680195	0.03619589	0.05785439	0.08383173	0.0453189	0.1430593	0.02701852	0.06333044	0.07332483	0.093271	0.06061933	0.04602529	0.02810166	0.1248345	0.05921857	0.1336124	0.1097181	0.04999323	0.0908296	0.08153215	0.1077745	0.09950398	0.04529589	0.06894146	0.1063157	0.06503128	0.0360658	0.12583	0.05450115	0.06266482	0.07196853	0.074817	0.03212228	0.0529389	0.06476566	0.08176898	0.04635217	0.03947105	0.02622701	0.05313455	0.07297364	0.02269766	0.07635722	0.04403917
1600	0.02807998	0.09166566	0.03337524	0.02933993	0.04491423	0.05864438	0.06022582	0.06952169	0.07760383	0.1311193	0.0392612	0.07573164	0.07171796	0.03946773	0.05909704	0.1172655	0.01103387	0.05727649	0.03434653	0.06048332	0.05760771	0.07031084	0.03187343	0.140259	0.1304069	0.01339342	0.06219142	0.0451079	0.07671799	0.1230063	0.1044181	0.03712433	0.03120262	0.03469892	0.05573544	0.05985174	0.1000034	0.05468521	0.0827523	0.05907359	0.03678937	0.09238717	0.1165194	0.07897144	0.1070993	0.05500193	0.1574217	0.06375642	0.06027665	0.02799135	0.08265012	0.0344753	0.05323891	0.0853963	0.07960473	0.06898825	0.08488103	0.03825938	0.1143498	0.05634712	0.03701987	0.07858429	0.00918344	0.1372038	0.03619197	0.06089327	0.06108627	0.0190564	0.03764337	0.109399	0.03773915	0.1889216	0.03766287	0.03653063	0.09165401	0.05103405	0.1069767	0.1092469	0.02251425	0.07020555	0.03892686	0.0499638	0.09163746	0.1135238	0.107019	0.02749033	0.06310479	0.1050433	0.03484042	0.07045452	0.03645114	0.1146294	0.07415282	0.05433712	0.08131533	0.03545306	0.06568561	0.02611887	0.03967631	0.1080871
1700	0.04899082	0.03456968	0.04284201	0.07132471	0.01597484	0.1013845	0.04686004	0.08334708	0.04435025	0.0879272	0.05592651	0.1019533	0.0413966	0.03435779	0.03227269	0.03072179	0.05740352	0.0440296	0.07775458	0.04614571	0.05593592	0.06496801	0.02150241	0.1279029	0.0742386	0.01789104	0.06749659	0.1067802	0.09273712	0.09740128	0.1035075	0.07905249	0.01458285	0.01670244	0.03622281	0.05868758	0.1047728	0.0872057	0.05710291	0.1127877	0.01000203	0.117318	0.06700889	0.0470994	0.05295085	0.07199249	0.1262803	0.04621458	0.04329463	0.01576792	0.04848969	0.05137051	0.04413503	0.06882684	0.07946583	0.02557475	0.05632589	0.05759314	0.1193141	0.06814671	0.0602967	0.08856274	0.019563	0.05747191	0.05290296	0.07657286	0.1021439	0.06153929	0.03282557	0.05070871	0.02022398	0.0662059	0.03067908	0.08677776	0.03574736	0.03128865	0.09344658	0.1132813	0.02830833	0.06512575	0.04586117	0.0439154	0.0797283	0.1336381	0.05864428	0.04320645	0.08371551	0.06471397	0.04877418	0.1327698	0.05962993	0.08200467	0.1252587	0.1243644	0.065144	0.03843897	0.05647634	0.09007539	0.0709945	0.06722024
1800	0.05279251	0.06805307	0.08397081	0.0920125	0.0698465	0.0706144	0.06442341	0.06912575	0.05940622	0.09039169	0.03700615	0.0750172	0.04274249	0.02591629	0.02292617	0.05127727	0.02175963	0.06683472	0.1263508	0.05621077	0.05518806	0.05500164	0.05088312	0.1440421	0.0715724	0.01199962	0.048902	0.04866959	0.02931186	0.05549084	0.07734836	0.1320791	0.02563271	0.06110546	0.05972413	0.03548101	0.06544598	0.04965711	0.1132055	0.1130669	0.05252671	0.08058318	0.1188292	0.08795045	0.05415849	0.06026536	0.1457757	0.03133328	0.06041959	0.008703497	0.03488876	0.02984944	0.07800744	0.06205834	0.1074937	0.02809757	0.03819134	0.0588399	0.123606	0.06379817	0.05841803	0.04020699	0.02459429	0.02838239	0.06469669	0.1190986	0.06868456	0.04147548	0.03938286	0.06664123	0.04096806	0.121712	0.03906561	0.07870332	0.03786134	0.0707832	0.111957	0.1103832	0.04580462	0.07613548	0.03000444	0.07264339	0.06718759	0.09328615	0.04724364	0.03637504	0.08430144	0.08659355	0.08914759	0.0422377	0.05176231	0.07831128	0.06131908	0.04900349	0.05046369	0.03499794	0.04657892	0.04439819	0.07552436	0.07341912
1900	0.04325531	0.0304526	0.040671	0.04316153	0.01400921	0.03114458	0.04736113	0.09884824	0.08320397	0.0729958	0.0659257	0.1149625	0.1118006	0.05491294	0.04040149	0.05631413	0.0488573	0.0601646	0.07268016	0.02442384	0.04546314	0.02742199	0.06749755	0.05647039	0.1019333	0.02034718	0.05353491	0.04124134	0.07538614	0.07006423	0.03281391	0.06173154	0.03550131	0.03879649	0.08192368	0.08551017	0.1060428	0.06304515	0.1215514	0.1020154	0.01166474	0.08217094	0.02303509	0.1325632	0.0630794	0.1062672	0.08991735	0.07178761	0.05260951	0.02698273	0.05994528	0.04769345	0.09035073	0.08774058	0.08868786	0.07540977	0.03968433	0.01136856	0.05452829	0.03935452	0.01081277	0.1058267	0.02005176	0.1096351	0.07174419	0.1135475	0.07551501	0.01435277	0.01780566	0.0557768	0.01786092	0.1153586	0.04787637	0.1190754	0.04323045	0.03377322	0.06481375	0.09049048	0.03387179	0.04684937	0.06621954	0.03571259	0.06396436	0.1084048	0.1089434	0.04483497	0.07735648	0.0472623	0.04621962	0.04515158	0.04321909	0.07586606	0.06512555	0.03963002	0.09763175	0.01537052	0.08477298	0.04843266	0.09795233	0.04202856
2000	0.0313939	0.05798267	0.03679601	0.02362243	0.0869846	0.02675303	0.04246447	0.06113394	0.05880644	0.09985946	0.07195533	0.07649804	0.05088218	0.01710459	0.07283598	0.05048269	0.02634109	0.04713161	0.1348001	0.07946148	0.04040259	0.0746265	0.05981118	0.09307943	0.1048557	0.01655251	0.04346241	0.05060343	0.06561623	0.06537432	0.06167608	0.06156642	0.02069657	0.02149314	0.0612108	0.08965226	0.07361275	0.07894557	0.04270981	0.1120618	0.0132376	0.1189098	0.07279357	0.1309395	0.09945495	0.03231632	0.1109005	0.04817282	0.06242145	0.03823285	0.02973127	0.02582568	0.1341595	0.08800634	0.0544769	0.03291886	0.03245105	0.05557151	0.1355485	0.05734003	0.04000256	0.1139158	0.02923276	0.07592771	0.06754528	0.1005322	0.05566469	0.04076147	0.04665293	0.08765578	0.03573113	0.1091635	0.0675009	0.1147795	0.04419395	0.06857982	0.12632	0.09803083	0.0449781	0.05739453	0.02441663	0.03155495	0.06449247	0.1654531	0.07219423	0.01998626	0.07110328	0.02603905	0.03840115	0.07398657	0.02565309	0.07140515	0.07025857	0.05898434	0.0587095	0.04704187	0.1016641	0.006265489	0.1065308	0.07003733
